Genus	Peri-implantitis	Mucositis	Health	Mucositis	Mucositis	Peri-implantitis	Health	Health	Peri-implantitis	Peri-implantitis	Peri-implantitis	Peri-implantitis	Health	Health	Health	Health	Health	Health	Health	Health	Health	Health	Peri-implantitis	Mucositis	Mucositis	Mucositis	Mucositis	Mucositis	Mucositis	Health	Health	Health	Mucositis	Mucositis	Mucositis	Mucositis	Health	Mucositis	Mucositis	Mucositis	Peri-implantitis	Health	Health	Health	Mucositis	Mucositis	Health	Health	Health	Peri-implantitis	Peri-implantitis	Peri-implantitis	Peri-implantitis	Mucositis	Peri-implantitis	Mucositis	Health	Health	Peri-implantitis	Peri-implantitis	Health	Health	Mucositis	Peri-implantitis	Peri-implantitis	Peri-implantitis	Health	Peri-implantitis	Mucositis	Mucositis	Mucositis	Mucositis	Mucositis	Mucositis	Mucositis	Health	Health	Health	Health	Peri-implantitis	Health	Health	Health	Health	Health	Health	Mucositis	Peri-implantitis	Mucositis	Peri-implantitis	Health	Peri-implantitis	Health	Peri-implantitis	Health	Health	Mucositis	Mucositis	Mucositis	Mucositis	Mucositis	Mucositis	Mucositis	Peri-implantitis	Mucositis	Mucositis	Peri-implantitis	Peri-implantitis	Peri-implantitis	Peri-implantitis	Peri-implantitis	Peri-implantitis	Health	Peri-implantitis	Health	Health	Health	Health	Health	Health	Health	Health	Health	Health	Health	Health	Health
Actinomyces	5	0	0	0	2	0	0	0	0	0	0	0	6	1	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	5	0	0	57	156	166	1	103	1	0	3	7	69	1182	0	1	64	0	83	1	0	0	0	0	1	4	0	0	0	0	0	4	0	0	0	1	0	0	0	5	0	0	23	0	0	3	2	0	38	3	1	0	5	0	24	0	0	1	42	1	11	0	0	1	0	0	0	0	5	0	2	0	0	0	0	0	2	0	0	0	13	0	0	0	0
Actinomyces	0	0	14	1	4	0	0	0	0	0	0	0	14	0	2	0	0	0	985	1661	0	0	0	0	0	0	1	0	1	0	17	0	0	0	0	15	1	2	0	19	0	0	1	0	0	20	0	0	2	47	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	27	110	1	4	0	52	11	149	0	0	0	0	0	58	66	1	0	0	8	96	35	51	0	44	31	0	5	3	13	2	3	11	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	2	2	0	0	0	0	0	0	0	6
Actinomyces	0	0	0	0	0	0	0	3	33	0	0	0	0	35	21	4	13	2	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	14	1	12	0	0	0	0	0	15	38	1	0	0	0	0	15	7	3	0	0	0	0	0	0	0	0	7	0	2	0	0	0	0	0	0	0	0	2	0	7	23	2	0	2	0	0	0	3	7	9	0	0
Actinomyces	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces	3	1	9	0	0	94	22	32	447	10	6	16	28	1	0	0	2	0	0	0	10	2	3	1	0	0	1	0	8	0	13	0	1	8	4.5	5	2	13	0	0	19	0	5	0	9	6	16	6	1	5	6	23	3	5	2	84	0	0	16	46	9	4	0	1	27	13	0	11	0	2	3	1	162	0	1	0	0	0	11	0	1	42	0	0	1	0	0	1	19	0	1	8	0	0	10	6	0	11	2	251	21	19	8	0	11	9	32	17	0	31	41	7	0	0	0	4	119	4	8	0	0	0	2	246	0	4	8
Actinomyces	0	2	0	2	0	0	0	0	0	0	0	0	14	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	383	0	0	0	0	23	3	8	13	0	0	0	0	0	0	0	0	0	0	1	0	0	0	13	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	19	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces	0	0	2	1	7	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	2	0	0	0	0	0	15	0	0	9	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	20	0	0	33	0	0	3	0	0	0	8	2	0	0	3	1	3	5	0	0	0	0	1	0	0	0	0	2	0	0	18	1	0	9	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	27	25	6	26	0	0	0	0	16
Actinomyces	0	2	1	3	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	8	2	6	10	1	5	15	31	0	0	0	9	26	17.5	12	0	6	0	200	95	0	0	0	0	558	1	0	0	0	6	4	7	9	0	0	12	0	0	4	6	107	0	0	0	55	0	0	1	25	0	26	255	1	1	110	41	84	0	0	0	0	2	14	69	192	0	0	2	34	3	0	0	2	114	6	38	1	1	0	0	11	0	2	0	0	0	0	0	0	0	0	0	0	0	98	1	81	78	106	63	24	12	4	0	0	55
Actinomyces	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces	0	1	5	6	5	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	75	536	0	1	0.5	0	87	0	51	1	0	9	162	105	11	31	0	0	0	0	1	0	3	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	15	0	0	0	1	0	0	0	33	32	3	0	24	362	2399	14	0	2	0	0	3618	270	8	0	11	0	3	6	1	0	24	0	44	0	0	0	0	34	6	78	8	1	0	0	0	0	0	107	71	214	26	191	0	0	0	0	1
