run_accession	sample_alias	fastq_ftp	fastq_md5	fastq_bytes	library_layout	library_strategy	library_source	library_selection
SRR30617627	NU_61	ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/027/SRR30617627/SRR30617627_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/027/SRR30617627/SRR30617627_2.fastq.gz	ed3c741b31e70605253e71f652bee0f1;f72b50efdc9b7f171d1d288a83e4fa01	7718388;10251973	PAIRED	AMPLICON	GENOMIC	RT-PCR
SRR30617628	NU_60	ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/028/SRR30617628/SRR30617628_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/028/SRR30617628/SRR30617628_2.fastq.gz	9bfebf0a6824ca9d934d0a3376fc8db0;5ab31e910dabaa170d9b5a4777573b81	7214237;10439149	PAIRED	AMPLICON	GENOMIC	RT-PCR
SRR30617630	NU_58	ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/030/SRR30617630/SRR30617630_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/030/SRR30617630/SRR30617630_2.fastq.gz	7f5acca2cba78b024136d5281dde8061;b3460e0c1fadcab6ad792b33820df04d	10887657;15315026	PAIRED	AMPLICON	GENOMIC	RT-PCR
SRR30617631	NU_57	ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/031/SRR30617631/SRR30617631_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/031/SRR30617631/SRR30617631_2.fastq.gz	f940371250e80bcd31d0f1519c28c903;1b9da45079c3836a1595551a066ff062	10233765;14590803	PAIRED	AMPLICON	GENOMIC	RT-PCR
SRR30617635	NU_53	ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/035/SRR30617635/SRR30617635_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/035/SRR30617635/SRR30617635_2.fastq.gz	b6b96a17be2487f55381171772557e4d;70ad171a384139a37bca8ac73f8ecd55	8484849;10805224	PAIRED	AMPLICON	GENOMIC	RT-PCR
SRR30617638	NU_51	ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/038/SRR30617638/SRR30617638_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/038/SRR30617638/SRR30617638_2.fastq.gz	8ab1da9d9bf7c9b5a512f14ced4996bc;6a0395efb1df96e47c9b0acc83f7b678	9692678;12680791	PAIRED	AMPLICON	GENOMIC	RT-PCR
SRR30617640	NU_49	ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/040/SRR30617640/SRR30617640_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/040/SRR30617640/SRR30617640_2.fastq.gz	7a69c70a265426926b1d02e2053f1c81;98ee6daa3606a9e703af131842276fb6	7677053;11360664	PAIRED	AMPLICON	GENOMIC	RT-PCR
SRR30617641	NU_48	ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/041/SRR30617641/SRR30617641_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/041/SRR30617641/SRR30617641_2.fastq.gz	e54e19e2b3800254130c77567e554bca;fd4e487386a3eb9e51b6bd4e5c93a8aa	9098003;12922176	PAIRED	AMPLICON	GENOMIC	RT-PCR
SRR30617644	NU_45	ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/044/SRR30617644/SRR30617644_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/044/SRR30617644/SRR30617644_2.fastq.gz	3b052a1559a831019f365a5f0a7c0424;b2230afb403566831cc6abcd37f75189	8098908;9684607	PAIRED	AMPLICON	GENOMIC	RT-PCR
SRR30617646	NU_43	ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/046/SRR30617646/SRR30617646_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/046/SRR30617646/SRR30617646_2.fastq.gz	e96d0b5c286644121f5dca98eea29f1e;b7c21da6f059b3bbca777431594b8655	10239420;12391765	PAIRED	AMPLICON	GENOMIC	RT-PCR
