zref,S11,S33,phi,S11_mu
0.01562,-1338.2416,-0.0013,0.16224,-0.77618
0.04688,-1114.6785,-0.0020,0.17031,-0.64651
0.07812,-887.1894,-0.0029,0.17838,-0.51457
0.10938,-674.1384,-0.0042,0.18605,-0.39100
0.14062,-483.6272,-0.0057,0.19229,-0.28050
0.17188,-296.8235,-0.0077,0.19853,-0.17216
0.20312,-105.5455,-0.0105,0.20477,-0.06122
0.23438,1.6261,0.2283,0.21019,0.00094
0.26562,6.3165,-0.2101,0.20919,0.00366
0.29688,19.9736,-0.0727,0.20819,0.01158
0.32812,19.3413,-0.0370,0.20719,0.01122
0.35938,21.7284,-0.0322,0.20616,0.01260
0.39062,13.2553,-0.0294,0.20324,0.00769
0.42188,3.5643,-0.0259,0.20031,0.00207
0.45312,-1.2954,-0.0224,0.19739,-0.00075
0.48438,-4.3214,-0.0193,0.19446,-0.00251
0.51562,-4.8589,-0.0167,0.19194,-0.00282
0.54688,-7.0120,-0.0146,0.18945,-0.00407
0.57812,-18.1001,-0.0128,0.18697,-0.01050
0.60938,-32.5865,-0.0115,0.18448,-0.01890
0.64062,-25.3463,-0.0114,0.18504,-0.01470
0.67188,-6.7106,-0.0121,0.18633,-0.00389
0.70312,3.3258,-0.0129,0.18763,0.00193
0.73438,12.6017,-0.0135,0.18892,0.00731
0.76562,12.8807,-0.0138,0.18918,0.00747
0.79688,9.6299,-0.0137,0.18901,0.00559
0.82812,18.8219,-0.0136,0.18884,0.01092
0.85938,43.2431,-0.0134,0.18867,0.02508
0.89062,37.1509,-0.0120,0.18547,0.02155
0.92188,4.0243,-0.0097,0.18028,0.00233
0.95312,-22.8902,-0.0075,0.17509,-0.01328
0.98438,-78.4942,-0.0055,0.16990,-0.04553
