zref,S11,S33,phi,S11_mu
0.01562,-5628.3843,-0.0012,0.20898,-3.26446
0.04688,-6921.4829,-0.0009,0.24233,-4.01446
0.07812,-8187.3081,-0.0006,0.27568,-4.74864
0.10938,-8516.6494,-0.0005,0.29417,-4.93966
0.14062,-7556.2603,-0.0007,0.25897,-4.38263
0.17188,-6205.7241,-0.0011,0.22377,-3.59932
0.20312,-4821.3389,-0.0014,0.18857,-2.79638
0.23438,-1852.6915,0.0640,0.15593,-1.07456
0.26562,-453.6106,-0.0007,0.14311,-0.26309
0.29688,-113.5541,-0.0046,0.13029,-0.06586
0.32812,83.1980,-0.0055,0.11747,0.04825
0.35938,195.4080,-0.0060,0.10488,0.11334
0.39062,142.0646,-0.0060,0.11149,0.08240
0.42188,69.3387,-0.0057,0.11809,0.04022
0.45312,85.8118,-0.0055,0.12470,0.04977
0.48438,113.9284,-0.0052,0.13130,0.06608
0.51562,74.0410,-0.0048,0.14919,0.04294
0.54688,21.8081,-0.0045,0.16821,0.01265
0.57812,2.2313,-0.0043,0.18722,0.00129
0.60938,-6.8724,-0.0041,0.20623,-0.00399
0.64062,-7.6755,-0.0040,0.22403,-0.00445
0.67188,-7.8213,-0.0038,0.24153,-0.00454
0.70312,-17.5778,-0.0037,0.25903,-0.01020
0.73438,-34.5482,-0.0037,0.27653,-0.02004
0.76562,-29.1184,-0.0036,0.28807,-0.01689
0.79688,-11.3630,-0.0036,0.29712,-0.00659
0.82812,-8.7264,-0.0035,0.30616,-0.00506
0.85938,-14.6419,-0.0035,0.31520,-0.00849
0.89062,-13.7253,-0.0035,0.32197,-0.00796
0.92188,-8.1176,-0.0035,0.32724,-0.00471
0.95312,-13.0527,-0.0035,0.33250,-0.00757
0.98438,-34.7854,-0.0035,0.33777,-0.02018
