eltype,cond,profile,Nx,interior_peak_vm,interior_peak_peel,edge_vm
CPE4,DH,thread,108,609.4642,665.1964,1472.3394
CPE4,CH,thread,108,244.9373,284.5290,604.0151
CPE4,DH,flat,108,147.1409,162.9927,1513.8441
CPE4,CH,flat,108,112.4867,27.7278,709.5956
CPE4H,DH,thread,108,609.4642,665.1964,1472.3394
CPE4H,CH,thread,108,244.9373,284.5290,604.0151
CPE4H,DH,flat,108,147.1409,162.9927,1513.8441
CPE4H,CH,flat,108,112.4867,27.7278,709.5956
CPE8,DH,thread,108,598.6783,624.6530,1645.2830
CPE8,CH,thread,108,236.2941,260.6146,650.2756
CPE8,DH,flat,108,147.2240,162.7164,1636.7734
CPE8,CH,flat,108,113.4412,27.4543,747.4161
CPE8R,DH,thread,108,601.4386,668.6226,1675.2037
CPE8R,CH,thread,108,238.1183,283.5629,648.5443
CPE8R,DH,flat,108,147.3053,162.8236,1677.1720
CPE8R,CH,flat,108,113.4252,27.5617,752.2379
CPE8RH,DH,thread,108,601.4531,669.3011,1647.0882
CPE8RH,CH,thread,108,238.1317,284.0058,644.0959
CPE8RH,DH,flat,108,147.3966,162.8624,1602.0719
CPE8RH,CH,flat,108,113.4636,27.5774,733.3458
