x,u3
0.0000,-1.080875e-01
0.1667,-9.329786e-02
0.3333,-5.205599e-02
0.5000,8.867847e-03
0.6667,7.932622e-02
0.8333,1.464008e-01
1.0000,1.957080e-01
1.1667,2.153222e-01
1.3333,2.010917e-01
1.5000,1.588691e-01
1.6667,1.012048e-01
1.8333,4.177370e-02
2.0000,-8.297918e-03
2.1667,-4.169934e-02
2.3333,-5.522380e-02
2.5000,-4.961255e-02
2.6667,-2.878811e-02
2.8333,1.314495e-03
3.0000,3.397076e-02
3.1667,6.284761e-02
3.3333,8.312182e-02
3.5000,9.232112e-02
3.6667,9.056848e-02
3.8333,8.012281e-02
4.0000,6.444500e-02
4.1667,4.719607e-02
4.3333,3.146937e-02
4.5000,1.936542e-02
4.6667,1.188771e-02
4.8333,9.082176e-03
5.0000,1.032993e-02
5.1667,1.468428e-02
5.3333,2.116266e-02
5.5000,2.892701e-02
5.6667,3.733448e-02
5.8333,4.587388e-02
6.0000,5.403525e-02
6.1667,6.114796e-02
6.3333,6.624066e-02
6.5000,6.793201e-02
6.6667,6.441014e-02
6.8333,5.348455e-02
7.0000,3.280599e-02
7.1667,2.203787e-04
7.3333,-4.567416e-02
7.5000,-1.048742e-01
7.6667,-1.754806e-01
7.8333,-2.540891e-01
8.0000,-3.345693e-01
