x,u3
0.0000,-1.837120e-01
0.1667,-1.620457e-01
0.3333,-1.012677e-01
0.5000,-9.849818e-03
0.6667,1.002931e-01
0.8333,2.129049e-01
1.0000,3.052257e-01
1.1667,3.519367e-01
1.3333,3.386271e-01
1.5000,2.728344e-01
1.6667,1.780471e-01
1.8333,7.874329e-02
2.0000,-7.368714e-03
2.1667,-6.912947e-02
2.3333,-1.007890e-01
2.5000,-1.021453e-01
2.6667,-7.795707e-02
2.8333,-3.624552e-02
3.0000,1.338263e-02
3.1667,6.110751e-02
3.3333,9.837122e-02
3.5000,1.195227e-01
3.6667,1.229866e-01
3.8333,1.111977e-01
4.0000,8.927045e-02
4.1667,6.317545e-02
4.3333,3.823623e-02
4.5000,1.827143e-02
4.6667,5.321929e-03
4.8333,-2.040715e-04
5.0000,8.851038e-04
5.1667,7.092474e-03
5.3333,1.672928e-02
5.5000,2.826683e-02
5.6667,4.049506e-02
5.8333,5.249529e-02
6.0000,6.348810e-02
6.1667,7.261569e-02
6.3333,7.873887e-02
6.5000,8.027569e-02
6.6667,7.515575e-02
6.8333,6.087774e-02
7.0000,3.478099e-02
7.1667,-5.512245e-03
7.3333,-6.141350e-02
7.5000,-1.326232e-01
7.6667,-2.166191e-01
7.8333,-3.092888e-01
8.0000,-4.037450e-01
