time_s,S13
0.000000000000000000e+00,0.000000000000000000e+00
9.999999776482582092e-03,9.997547268867492676e-01
1.999999955296516418e-02,1.998969316482543945e+00
2.999999932944774628e-02,2.997544765472412109e+00
5.000000074505805969e-02,4.992432594299316406e+00
9.000000357627868652e-02,8.971195220947265625e+00
1.000000014901161194e-01,9.963233947753906250e+00
1.000000014901161194e-01,9.963233947753906250e+00
1.399031467735767365e-01,9.943874359130859375e+00
1.798062920570373535e-01,9.924629211425781250e+00
2.197094336152076721e-01,9.905497550964355469e+00
2.995157167315483093e-01,9.867571830749511719e+00
4.591282978653907776e-01,9.793054580688476562e+00
7.783534303307533264e-01,9.649208068847656250e+00
1.153596021234989166e+00,9.488595008850097656e+00
1.528838612139225006e+00,9.336663246154785156e+00
1.904081322252750397e+00,9.192934036254882812e+00
2.359237767755985260e+00,9.028961181640625000e+00
2.814394332468509674e+00,8.875639915466308594e+00
3.269550897181034088e+00,8.732267379760742188e+00
3.888587094843387604e+00,8.552061080932617188e+00
4.507623292505741119e+00,8.387512207031250000e+00
5.126659490168094635e+00,8.237228393554687500e+00
5.745695687830448151e+00,8.099941253662109375e+00
6.364731885492801666e+00,7.974493503570556641e+00
6.983768083155155182e+00,7.859831809997558594e+00
7.749815084040164948e+00,7.731446743011474609e+00
8.515862084925174713e+00,7.616476058959960938e+00
9.281908608973026276e+00,7.513459205627441406e+00
1.004795608669519424e+01,7.421094417572021484e+00
1.099603901058435440e+01,7.319809436798095703e+00
1.194412193447351456e+01,7.231137752532958984e+00
1.289220485836267471e+01,7.153402328491210938e+00
1.384028778225183487e+01,7.085150241851806641e+00
1.513777885586023331e+01,7.004848003387451172e+00
1.643526992946863174e+01,6.937233448028564453e+00
1.773276100307703018e+01,6.880057334899902344e+00
1.903025398403406143e+01,6.831470012664794922e+00
2.093028984218835831e+01,6.772711753845214844e+00
2.283032760769128799e+01,6.725385189056396484e+00
2.515279350429773331e+01,6.678983688354492188e+00
2.747525749355554581e+01,6.641676425933837891e+00
3.068353805691003799e+01,6.600289821624755859e+00
3.389182052761316299e+01,6.566563129425048828e+00
3.905874405056238174e+01,6.521440505981445312e+00
4.422566757351160049e+01,6.482262611389160156e+00
5.406569061428308487e+01,6.414285182952880859e+00
6.390570984035730362e+01,6.349486827850341797e+00
8.358575592190027237e+01,6.223219394683837891e+00
1.229458404555916786e+02,5.979171276092529297e+00
1.575462432876229286e+02,5.773253440856933594e+00
1.921466461196541786e+02,5.575072765350341797e+00
2.251000000014901161e+02,5.393254756927490234e+00
2.642305542007088661e+02,5.185793399810791016e+00
3.033610778823494911e+02,4.987127304077148438e+00
3.424916320815682411e+02,4.796882629394531250e+00
3.884741760268807411e+02,4.583606243133544922e+00
4.344567199721932411e+02,4.380914211273193359e+00
4.501000000014901161e+02,4.314277172088623047e+00
4.886786132827401161e+02,4.154788494110107422e+00
5.272572265639901161e+02,4.001967906951904297e+00
5.658358398452401161e+02,3.855536222457885742e+00
6.148120971694588661e+02,3.678424119949340820e+00
6.751000000014901161e+02,3.473187208175659180e+00
7.353879028335213661e+02,3.281200170516967773e+00
7.956758056655526161e+02,3.101607799530029297e+00
8.559637084975838661e+02,2.933609724044799805e+00
9.001000000014901161e+02,2.817536592483520508e+00
9.705155273452401161e+02,2.643702745437622070e+00
1.040931054688990116e+03,2.482904195785522461e+00
1.125100000001490116e+03,2.306440830230712891e+00
1.209268945313990116e+03,2.145676612854003906e+00
1.293438012696802616e+03,1.999214529991149902e+00
1.350100000001490116e+03,1.908028960227966309e+00
1.434268945313990116e+03,1.782709121704101562e+00
1.518438012696802616e+03,1.668538451194763184e+00
1.575100000001490116e+03,1.597456932067871094e+00
1.689999780274927616e+03,1.466307878494262695e+00
1.800100000001490116e+03,1.355358362197875977e+00
1.914999780274927616e+03,1.253124356269836426e+00
2.025100000001490116e+03,1.166636466979980469e+00
2.139999658204615116e+03,1.086942553520202637e+00
2.250100000001490116e+03,1.019523143768310547e+00
2.391651269532740116e+03,9.440842270851135254e-01
2.475100000001490116e+03,9.048445820808410645e-01
2.645822167970240116e+03,8.350227475166320801e-01
2.700100000001490116e+03,8.154497742652893066e-01
2.870822167970240116e+03,7.610219717025756836e-01
2.925100000001490116e+03,7.457643151283264160e-01
3.125100000001490116e+03,6.968322396278381348e-01
3.150100000001490116e+03,6.914427876472473145e-01
3.350100000001490116e+03,6.532990336418151855e-01
3.375100000001490116e+03,6.490978002548217773e-01
3.575100000001490116e+03,6.193637847900390625e-01
3.600100000001490116e+03,6.160888075828552246e-01
3.800100000001490116e+03,5.929104089736938477e-01
3.825100000001490116e+03,5.903574824333190918e-01
4.025100000001490116e+03,5.722893476486206055e-01
4.050100000001490116e+03,5.702992677688598633e-01
4.250100000001490116e+03,5.562146902084350586e-01
4.275100000001490116e+03,5.546634197235107422e-01
4.475100000001490116e+03,5.436841249465942383e-01
4.500100000001490116e+03,5.424748659133911133e-01
