model,chain,stage,beta,beta_next,delta_beta,ess,ess_target,accept_rate,logL_min,logL_max,linearization_enabled,rom_error_pre,rom_error_post,delta_theta0
Commensal_Static,1,1,0.0,0.06877338886260986,0.06877338886260986,2000.0000993719705,2000.0,0.50915,-67.53650635681913,18.402503197648006,0,nan,nan,nan
Commensal_Static,1,2,0.06877338886260986,0.1836642477555941,0.11489085889298423,2000.000346239125,2000.0,0.22995,-33.30106435282707,19.355377299195734,0,nan,nan,nan
Commensal_Static,1,3,0.1836642477555941,0.37723232365321524,0.19356807589762115,2000.0001462555779,2000.0,0.16305,-9.889066972487674,19.445930319280148,0,nan,nan,nan
Commensal_Static,1,4,0.37723232365321524,0.7023131994479616,0.3250808757947463,2000.0000747083166,2000.0,0.1404,-2.0186271383515755,21.826771615658757,0,nan,nan,nan
Commensal_Static,1,5,0.7023131994479616,0.999999991128242,0.29768679168028045,2894.298859147894,2000.0,0.13145,6.882356502044685,23.43628696484551,0,nan,nan,nan
Commensal_Static,1,6,0.999999991128242,1.0,8.871757994910467e-09,3999.999999999998,2000.0,0.1234,6.426033991421513,23.668105928424726,0,0.0,nan,5.262855787298161
Commensal_Static,2,1,0.0,0.06769278645515442,0.06769278645515442,2000.0002604546205,2000.0,0.51135,-67.91818609625908,18.440194134124432,0,nan,nan,nan
Commensal_Static,2,2,0.06769278645515442,0.1785243044756042,0.11083151802044977,2000.0003420289142,2000.0,0.2343,-31.454304731181995,20.3356721591155,0,nan,nan,nan
Commensal_Static,2,3,0.1785243044756042,0.36678095486536355,0.18825665038975936,2000.0001009102696,2000.0,0.15845,-7.9637146218234465,21.024143044813805,0,nan,nan,nan
Commensal_Static,2,4,0.36678095486536355,0.6598490687705153,0.29306811390515175,2000.0001025178476,2000.0,0.1314,2.9716218706424877,23.98631110958603,0,nan,nan,nan
Commensal_Static,2,5,0.6598490687705153,0.9999999898627123,0.34015092109219697,2107.198895491134,2000.0,0.13,5.845311206192366,27.74839542350321,0,nan,nan,nan
Commensal_Static,2,6,0.9999999898627123,1.0,1.0137287675959783e-08,3999.9999999999973,2000.0,0.1277,8.602159326710378,28.53513901779854,0,0.0,nan,5.305660054656724
