model,chain,stage,beta
Dysbiotic_HOBIC,1,0,0.0
Dysbiotic_HOBIC,1,1,0.0421123206615448
Dysbiotic_HOBIC,1,2,0.1288920759797536
Dysbiotic_HOBIC,1,3,0.44844245739968247
Dysbiotic_HOBIC,1,4,0.8335353570205369
Dysbiotic_HOBIC,1,5,0.9999999950389671
Dysbiotic_HOBIC,1,6,1.0
Dysbiotic_HOBIC,2,0,0.0
Dysbiotic_HOBIC,2,1,0.04100337624549866
Dysbiotic_HOBIC,2,2,0.13472772709052183
Dysbiotic_HOBIC,2,3,0.4126811973524679
Dysbiotic_HOBIC,2,4,0.7337783291756853
Dysbiotic_HOBIC,2,5,0.9999999920659759
Dysbiotic_HOBIC,2,6,1.0
