model,chain,stage,beta,beta_next,delta_beta,ess,ess_target,accept_rate,logL_min,logL_max,linearization_enabled,rom_error_pre,rom_error_post,delta_theta0
Dysbiotic_HOBIC,1,1,0.0,0.0421123206615448,0.0421123206615448,500.00006000725364,500.0,0.4936,-78.86705504703299,37.170687738730805,0,nan,nan,nan
Dysbiotic_HOBIC,1,2,0.0421123206615448,0.1288920759797536,0.0867797553182088,500.000012035304,500.0,0.2312,-10.373896584758885,37.170687738730805,0,nan,nan,nan
Dysbiotic_HOBIC,1,3,0.1288920759797536,0.44844245739968247,0.31955038141992886,500.00002695162186,500.0,0.293,21.899494932805588,39.26651919358742,0,nan,nan,nan
Dysbiotic_HOBIC,1,4,0.44844245739968247,0.8335353570205369,0.38509289962085447,500.00001389786803,500.0,0.2702,27.93095688109246,39.808969388993795,0,nan,nan,nan
Dysbiotic_HOBIC,1,5,0.8335353570205369,0.9999999950389671,0.1664646380184301,874.1092879837473,500.0,0.239,27.778566040491917,39.80914392243499,0,nan,nan,nan
Dysbiotic_HOBIC,1,6,0.9999999950389671,1.0,4.9610329178051416e-09,999.9999999999998,500.0,0.2354,28.765585520131495,39.76946090298999,0,0.0,nan,5.419250193271593
Dysbiotic_HOBIC,2,1,0.0,0.04100337624549866,0.04100337624549866,500.0001330409626,500.0,0.4972,-84.74961795447821,38.40611150237975,0,nan,nan,nan
Dysbiotic_HOBIC,2,2,0.04100337624549866,0.13472772709052183,0.09372435084502317,500.000071873796,500.0,0.2224,-21.516152905353092,38.76208346712164,0,nan,nan,nan
Dysbiotic_HOBIC,2,3,0.13472772709052183,0.4126811973524679,0.27795347026194606,500.00002983302153,500.0,0.2656,17.96315388827915,38.97041922959348,0,nan,nan,nan
Dysbiotic_HOBIC,2,4,0.4126811973524679,0.7337783291756853,0.3210971318232174,500.0000148758217,500.0,0.2198,27.841072033001982,39.586292069957345,0,nan,nan,nan
Dysbiotic_HOBIC,2,5,0.7337783291756853,0.9999999920659759,0.26622166289029064,700.914432949197,500.0,0.181,28.09252651062444,40.20533864247241,0,nan,nan,nan
Dysbiotic_HOBIC,2,6,0.9999999920659759,1.0,7.934024104372384e-09,999.9999999999995,500.0,0.1894,28.09252651062444,40.20533864247241,0,0.0,nan,3.3839928334460745
