model,chain,stage,beta
Dysbiotic_Static,1,0,0.0
Dysbiotic_Static,1,1,0.02
Dysbiotic_Static,1,2,0.52
Dysbiotic_Static,1,3,0.8616237783432007
Dysbiotic_Static,1,4,0.9999999958760672
Dysbiotic_Static,1,5,1.0
Dysbiotic_Static,2,0,0.0
Dysbiotic_Static,2,1,0.02
Dysbiotic_Static,2,2,0.04
Dysbiotic_Static,2,3,0.12123388290405274
Dysbiotic_Static,2,4,0.24799768098440556
Dysbiotic_Static,2,5,0.34181466789359105
Dysbiotic_Static,2,6,0.4165017350944626
Dysbiotic_Static,2,7,0.482421078572551
Dysbiotic_Static,2,8,0.5375956324891956
Dysbiotic_Static,2,9,0.5815762895763061
Dysbiotic_Static,2,10,0.6175666500265026
Dysbiotic_Static,2,11,0.6499201245243756
Dysbiotic_Static,2,12,0.6798535090910691
Dysbiotic_Static,2,13,0.7054829790244875
Dysbiotic_Static,2,14,0.727597118458325
Dysbiotic_Static,2,15,0.747597118458325
Dysbiotic_Static,2,16,0.767597118458325
Dysbiotic_Static,2,17,0.787597118458325
Dysbiotic_Static,2,18,0.807597118458325
Dysbiotic_Static,2,19,0.8325373004177506
Dysbiotic_Static,2,20,0.8556794701599711
Dysbiotic_Static,2,21,0.8756794701599712
Dysbiotic_Static,2,22,0.8956794701599712
Dysbiotic_Static,2,23,0.9156794701599712
Dysbiotic_Static,2,24,0.9356794701599712
Dysbiotic_Static,2,25,0.9556794701599712
Dysbiotic_Static,2,26,0.9756794701599713
Dysbiotic_Static,2,27,0.9956794701599713
Dysbiotic_Static,2,28,1.0
