model,chain,stage,beta,beta_next,delta_beta,ess,ess_target,accept_rate,logL_min,logL_max,linearization_enabled,rom_error_pre,rom_error_post,delta_theta0
Dysbiotic_Static,1,1,0.0,0.02,0.02,500.1870392177484,500.0,0.9822,-10393.24210360204,-10382.371782723507,0,nan,nan,nan
Dysbiotic_Static,1,2,0.02,0.52,0.5,500.00002813333674,500.0,0.567,-10392.123078347944,-10376.419972823745,0,nan,nan,nan
Dysbiotic_Static,1,3,0.52,0.8616237783432007,0.3416237783432007,500.00000497142446,500.0,0.4794,-10390.91981167818,-10369.406309645228,0,0.0,nan,4.230507874875501
Dysbiotic_Static,1,4,0.8616237783432007,0.9999999958760672,0.13837621753286655,842.1538677525638,500.0,0.4558,-10386.077069671384,-10361.46199827944,0,nan,nan,nan
Dysbiotic_Static,1,5,0.9999999958760672,1.0,4.123932750843551e-09,1000.0,500.0,0.4302,-10385.622569937497,-10356.796067190113,0,nan,nan,nan
Dysbiotic_Static,2,1,0.0,0.02,0.02,500.1934385664729,500.0,0.1534,-13106.257658792167,-12516.912801046941,0,nan,nan,nan
Dysbiotic_Static,2,2,0.02,0.04,0.02,500.001148251842,500.0,0.0344,-12855.32785695491,-12507.101672994202,0,nan,nan,nan
Dysbiotic_Static,2,3,0.04,0.12123388290405274,0.08123388290405273,500.00007675912605,500.0,0.4462,-12573.993044921874,-12501.608369593805,0,nan,nan,nan
Dysbiotic_Static,2,4,0.12123388290405274,0.24799768098440556,0.12676379808035282,500.0000230534958,500.0,0.4092,-12534.859222958994,-12478.094020723647,0,nan,nan,nan
Dysbiotic_Static,2,5,0.24799768098440556,0.34181466789359105,0.09381698690918552,500.0001020601442,500.0,0.3732,-12521.289597021612,-12453.616056214587,0,nan,nan,nan
Dysbiotic_Static,2,6,0.34181466789359105,0.4165017350944626,0.07468706720087154,500.0001512930224,500.0,0.3552,-12510.753883238813,-12422.595736811356,0,nan,nan,nan
Dysbiotic_Static,2,7,0.4165017350944626,0.482421078572551,0.06591934347808845,500.0000698822867,500.0,0.3364,-12490.582434491344,-12386.62020520601,0,nan,nan,nan
Dysbiotic_Static,2,8,0.482421078572551,0.5375956324891956,0.05517455391664461,500.00014996715674,500.0,0.3326,-12466.23458401211,-12348.308954430997,0,nan,nan,nan
Dysbiotic_Static,2,9,0.5375956324891956,0.5815762895763061,0.04398065708711049,500.0000315842925,500.0,0.3212,-12434.916727875188,-12307.711003424129,0,0.0,nan,4.0319949679597284
Dysbiotic_Static,2,10,0.5815762895763061,0.6175666500265026,0.03599036045019646,500.00013108779945,500.0,0.3194,-12407.448420246767,-12251.357821282005,0,nan,nan,nan
Dysbiotic_Static,2,11,0.6175666500265026,0.6499201245243756,0.03235347449787312,500.0001644277637,500.0,0.3178,-12377.773601756819,-12191.139631942167,0,nan,nan,nan
Dysbiotic_Static,2,12,0.6499201245243756,0.6798535090910691,0.029933384566693498,500.00007210949803,500.0,0.307,-12325.4424515365,-12129.90787913567,0,0.0,nan,4.111757311574545
Dysbiotic_Static,2,13,0.6798535090910691,0.7054829790244875,0.025629469933418445,500.00000178821205,500.0,0.303,-12287.865424609228,-12055.11760900062,0,nan,nan,nan
Dysbiotic_Static,2,14,0.7054829790244875,0.727597118458325,0.022114139433837426,500.0001474894946,500.0,0.3078,-12231.881388872462,-11966.68637566102,0,nan,nan,nan
Dysbiotic_Static,2,15,0.727597118458325,0.747597118458325,0.02,500.0001319810133,500.0,0.298,-12175.58020188729,-11882.05823062462,0,0.0,nan,4.370258815436022
Dysbiotic_Static,2,16,0.747597118458325,0.767597118458325,0.02,500.0000988463105,500.0,0.2842,-12102.088343779295,-11771.40169347496,0,nan,nan,nan
Dysbiotic_Static,2,17,0.767597118458325,0.787597118458325,0.02,500.0000120101925,500.0,0.2532,-12007.888503694616,-11366.945968794347,0,nan,nan,nan
Dysbiotic_Static,2,18,0.787597118458325,0.807597118458325,0.02,500.00007786449044,500.0,0.0364,-11915.001878714687,-11273.094284732966,0,0.0,nan,3.853259991278219
Dysbiotic_Static,2,19,0.807597118458325,0.8325373004177506,0.024940181959425614,500.0001318010635,500.0,0.229,-11479.606864715744,-11230.89446132853,0,nan,nan,nan
Dysbiotic_Static,2,20,0.8325373004177506,0.8556794701599711,0.02314216974222051,500.00000739780023,500.0,0.2238,-11404.118772671729,-11168.046275957471,0,nan,nan,nan
Dysbiotic_Static,2,21,0.8556794701599711,0.8756794701599712,0.02,500.00003547187504,500.0,0.2426,-11366.945968794347,-11110.036563426635,0,0.0,nan,3.8932833085364282
Dysbiotic_Static,2,22,0.8756794701599712,0.8956794701599712,0.02,500.0000740458909,500.0,0.2486,-11304.54797878373,-10982.253219214448,0,nan,nan,nan
Dysbiotic_Static,2,23,0.8956794701599712,0.9156794701599712,0.02,500.0000303666357,500.0,0.2318,-11282.471614137448,-10906.495155138799,0,nan,nan,nan
Dysbiotic_Static,2,24,0.9156794701599712,0.9356794701599712,0.02,500.00004187024257,500.0,0.2204,-11201.521220266464,-10790.791376121038,0,0.0,nan,4.28209060790593
Dysbiotic_Static,2,25,0.9356794701599712,0.9556794701599712,0.02,500.0000144014843,500.0,0.1878,-11065.379609922471,-10713.051597538453,0,nan,nan,nan
Dysbiotic_Static,2,26,0.9556794701599712,0.9756794701599713,0.02,500.0000385772026,500.0,0.1702,-11010.611459602094,-10632.106820496278,0,nan,nan,nan
Dysbiotic_Static,2,27,0.9756794701599713,0.9956794701599713,0.02,500.0000142640519,500.0,0.1622,-10911.662089343063,-10589.273968691916,0,0.0,nan,4.2222108099472955
Dysbiotic_Static,2,28,0.9956794701599713,1.0,0.004320529840028731,957.260969391979,500.0,0.162,-10911.662089343063,-10488.393479754377,0,nan,nan,nan
