species,group1,group2,p_value,r_biserial,p_bonf
So,PIH,PI,0.09496434775655796,-0.2154017857142858,1.0
So,PIM,PI,0.3288150289447912,-0.13621794871794868,1.0
So,PIH,PIM,0.7363748674915471,-0.041208791208791284,1.0
An,PIH,PI,0.0011602872833973439,0.4185267857142857,0.01740430925096016
An,PIM,PI,0.46305714837905776,0.10256410256410253,1.0
An,PIH,PIM,0.01322507271191928,0.3003663003663004,0.1983760906787892
Vd,PIH,PI,0.0018728978155606712,0.4006696428571429,0.028093467233410066
Vd,PIM,PI,0.09045713770989285,0.23557692307692313,1.0
Vd,PIH,PIM,0.25173324109788275,0.13919413919413914,1.0
Fn,PIH,PI,0.4025617231824159,-0.1082589285714286,1.0
Fn,PIM,PI,0.9953897472947997,0.0016025641025640969,1.0
Fn,PIH,PIM,0.5275788516226618,-0.07692307692307687,1.0
Pg,PIH,PI,0.7384138661031932,-0.04352678571428581,1.0
Pg,PIM,PI,0.6151772820835655,-0.07051282051282048,1.0
Pg,PIH,PIM,0.6745756022835776,0.05128205128205132,1.0
