biovolume_um3,mean_thickness_um,roughness_Ra,coverage,file,series,fov,condition,day,species,threshold
73756.07089955597,0.5915264320612118,0.254710445340357,0.38688087463378906,220518_HOBIC22_5Spezies_FISH_Tag1.lif,0,92 1,CH,1,S.oralis,0.5457552075386047
46367.91373396089,0.544267442221244,0.14875122257763126,0.26433753967285156,220518_HOBIC22_5Spezies_FISH_Tag1.lif,0,92 1,CH,1,A.naeslundii,0.672656238079071
15218.496192582144,0.5963636740298219,0.266044143722589,0.07917976379394531,220518_HOBIC22_5Spezies_FISH_Tag1.lif,0,92 1,CH,1,Vd/Vp,0.8930729627609253
64421.04090639571,0.5983356457520332,0.2699868332407241,0.33406925201416016,220518_HOBIC22_5Spezies_FISH_Tag1.lif,0,92 1,CH,1,F.nucleatum,0.27358072996139526
51410.709022736446,0.5600261129990791,0.18976505646548303,0.2848386764526367,220518_HOBIC22_5Spezies_FISH_Tag1.lif,0,92 1,CH,1,P.gingivalis,0.5378443598747253
86413.03498503244,0.6185013382142329,0.2986756838815364,0.4335031509399414,220518_HOBIC22_5Spezies_FISH_Tag1.lif,1,92 2,CH,1,S.oralis,0.5949580669403076
43963.69026808281,0.544033601983881,0.14773632347230448,0.25073909759521484,220518_HOBIC22_5Spezies_FISH_Tag1.lif,1,92 2,CH,1,A.naeslundii,0.7761418223381042
14166.850251863232,0.6093377933186152,0.28814543546838256,0.07213878631591797,220518_HOBIC22_5Spezies_FISH_Tag1.lif,1,92 2,CH,1,Vd/Vp,1.1695499420166016
55992.80373563923,0.5929787274834156,0.2604820632752845,0.2929859161376953,220518_HOBIC22_5Spezies_FISH_Tag1.lif,1,92 2,CH,1,F.nucleatum,0.30297380685806274
53653.47200641613,0.5546091482419325,0.17614362220942792,0.3001680374145508,220518_HOBIC22_5Spezies_FISH_Tag1.lif,1,92 2,CH,1,P.gingivalis,0.6155368089675903
79167.14985963168,0.5767526153742807,0.22516322397878225,0.4259014129638672,220518_HOBIC22_5Spezies_FISH_Tag1.lif,2,92 3,CH,1,S.oralis,0.5519460439682007
46402.05109305427,0.5366983572347792,0.12645467357841156,0.2682628631591797,220518_HOBIC22_5Spezies_FISH_Tag1.lif,2,92 3,CH,1,A.naeslundii,0.6533983945846558
15256.016533207296,0.6197730418170241,0.3021260301286643,0.07637691497802734,220518_HOBIC22_5Spezies_FISH_Tag1.lif,2,92 3,CH,1,Vd/Vp,0.8345144987106323
