species,metric,CH_n,DH_n,CH_med,DH_med,ratio,p_mw,sig
S.oralis,biovolume_um3,67,26,50997.37018830855,67655.8632242687,1.3266539622425315,0.0003631951577413527,***
S.oralis,mean_thickness_um,67,26,0.653630768308931,0.6836445778033471,1.0459185995360465,0.0626138445610877,ns
S.oralis,roughness_Ra,67,26,0.3531384289042563,0.38078809793234125,1.0782969701538243,0.0715454483758561,ns
S.oralis,coverage,67,26,0.2462348937988281,0.3268251419067383,1.327290120683512,0.00048586279228858174,***
A.naeslundii,biovolume_um3,67,26,53447.87899241683,64473.16957636262,1.2062811619804419,0.002772300019801594,**
A.naeslundii,mean_thickness_um,67,26,0.5884789453288987,0.6286680746535315,1.068293232312961,0.005616929554404162,**
A.naeslundii,roughness_Ra,67,26,0.2528540385212252,0.31987975866395996,1.265076723847179,0.0054710684014559405,**
A.naeslundii,coverage,67,26,0.2893085479736328,0.3193321228027344,1.1037770056895722,0.0072804067422177435,**
Vd/Vp,biovolume_um3,67,26,5495.961042145728,56500.63539512515,10.280392266584593,3.6201535222598766e-05,***
Vd/Vp,mean_thickness_um,67,26,0.6501957752911623,0.8116788705679817,1.2483607267434276,0.004665461502797637,**
Vd/Vp,roughness_Ra,67,26,0.3412404627092771,0.45949311390871717,1.3465376006718948,0.0034619334464825124,**
Vd/Vp,coverage,67,26,0.0324354171752929,0.29066944122314453,8.961483049601618,0.0002208533410683157,***
F.nucleatum,biovolume_um3,67,26,65778.84667574035,83938.07645076269,1.2760648854872607,0.005766289954358227,**
F.nucleatum,mean_thickness_um,67,26,0.6183089252868531,0.6464107997418269,1.0454495694719859,0.02463048682589496,*
F.nucleatum,roughness_Ra,67,26,0.3026010111253442,0.3410513940644359,1.1270662738240642,0.020578268749794584,*
F.nucleatum,coverage,67,26,0.3314704895019531,0.3514065742492676,1.0601443729644506,0.18883028467045881,ns
P.gingivalis,biovolume_um3,67,26,51830.6600483401,71828.46339993877,1.385829609982733,1.2910897974485241e-05,***
P.gingivalis,mean_thickness_um,67,26,0.5922045112477299,0.7061664110505155,1.192436730282038,2.3876927987155407e-07,***
P.gingivalis,roughness_Ra,67,26,0.2603248139718443,0.4168996149628445,1.6014593791582798,1.3714648916774752e-07,***
P.gingivalis,coverage,67,26,0.2741403579711914,0.32317209243774414,1.178856315901161,0.002274412027448153,**
