Model,Patient,LOO_RMSE,BC_Week2,BC_Week3,BC_mean
L1+L2 (Szafranski),A,0.083924,0.325848,0.16458,0.245214
L1+L2 (Szafranski),B,0.056079,0.216143,0.065651,0.140897
L1+L2 (Szafranski),C,0.047165,0.177244,0.119817,0.148531
L1+L2 (Szafranski),D,0.042459,0.158264,0.135951,0.147107
L1+L2 (Szafranski),E,0.030692,0.126101,0.062741,0.094421
L1+L2 (Szafranski),F,0.006905,0.029738,0.023585,0.026662
L1+L2 (Szafranski),G,0.058409,0.227496,0.134642,0.181069
L1+L2 (Szafranski),H,0.06246,0.259574,0.176854,0.218214
L1+L2 (Szafranski),K,0.062594,0.23651,0.088173,0.162342
L1+L2 (Szafranski),L,0.075418,0.225502,0.146173,0.185837
L1+L2+L3 (AGORA W=1),A,0.078894,0.302477,0.190042,0.246259
L1+L2+L3 (AGORA W=1),B,0.054447,0.215789,0.062832,0.139311
L1+L2+L3 (AGORA W=1),C,0.047312,0.17883,0.120218,0.149524
L1+L2+L3 (AGORA W=1),D,0.033622,0.113027,0.120326,0.116676
L1+L2+L3 (AGORA W=1),E,0.030523,0.128529,0.061501,0.095015
L1+L2+L3 (AGORA W=1),F,0.007793,0.028824,0.024827,0.026826
L1+L2+L3 (AGORA W=1),G,0.05437,0.200151,0.12346,0.161805
L1+L2+L3 (AGORA W=1),H,0.055492,0.198541,0.138219,0.16838
L1+L2+L3 (AGORA W=1),K,0.061476,0.233323,0.094385,0.163854
L1+L2+L3 (AGORA W=1),L,0.078742,0.207209,0.19282,0.200015
