model,eps,bc_mean,n_obs
Hamilton (no prior),0.0,0.16312926711425285,20
Hamilton (no prior),0.005,0.16375910318311412,20
Hamilton (no prior),0.01,0.1667273556703374,20
Hamilton (no prior),0.02,0.1813654262315927,20
Hamilton (no prior),0.03,0.20185313701133664,20
Hamilton (no prior),0.05,0.24664853721166882,20
Hamilton α=0.25,0.0,0.18499323129372264,20
Hamilton α=0.25,0.005,0.18553634287510914,20
Hamilton α=0.25,0.01,0.18826900876305824,20
Hamilton α=0.25,0.02,0.1998690790787345,20
Hamilton α=0.25,0.03,0.21641172906567685,20
Hamilton α=0.25,0.05,0.2561024922327416,20
Hamilton α=0.5,0.0,0.18167028315532815,20
Hamilton α=0.5,0.005,0.1825028827537754,20
Hamilton α=0.5,0.01,0.18680611200167355,20
Hamilton α=0.5,0.02,0.20097098203598457,20
Hamilton α=0.5,0.03,0.21840017747518675,20
Hamilton α=0.5,0.05,0.25623158166516335,20
AGORA α=0.0,0.0,0.1655629727089133,20
AGORA α=0.0,0.005,0.16593485938146085,20
AGORA α=0.0,0.01,0.1681641684558941,20
AGORA α=0.0,0.02,0.18350941591058145,20
AGORA α=0.0,0.03,0.20343174516152182,20
AGORA α=0.0,0.05,0.24624608286095856,20
AGORA α=0.25,0.0,0.16801562246641358,20
AGORA α=0.25,0.005,0.16856290738121235,20
AGORA α=0.25,0.01,0.17158228287185678,20
AGORA α=0.25,0.02,0.1871987945148211,20
AGORA α=0.25,0.03,0.20632552388104458,20
AGORA α=0.25,0.05,0.250965991912372,20
