patient,fold,strategy,bc,rmse
A,0,A_datafit,0.34205157706144285,0.1152875133477318
A,0,B_ridge,0.7798269053865967,0.2944277167429635
A,0,C_mean,0.4606672002669786,0.14492072816181448
B,1,A_datafit,0.20522008377260703,0.06767196316301545
B,1,B_ridge,0.27823873914212693,0.0794689729709769
B,1,C_mean,0.270925797603889,0.0853140601056154
C,2,A_datafit,0.14177687706551745,0.04629582330823316
C,2,B_ridge,0.2778912222941318,0.07765288308122027
C,2,C_mean,0.2569896167296421,0.07232660519428209
D,3,A_datafit,0.14681255455257824,0.04387988825787674
D,3,B_ridge,0.17336245267985978,0.04742765069979295
D,3,C_mean,0.13919790499564716,0.05449400429205696
E,4,A_datafit,0.09969119369563956,0.03362616932190819
E,4,B_ridge,0.8423749409003858,0.3367049628371915
E,4,C_mean,0.17886706560972188,0.05873134795495418
F,5,A_datafit,0.029194190944196896,0.007763918378439213
F,5,B_ridge,0.27233899023229546,0.08302708731230005
F,5,C_mean,0.2770850252551785,0.08390804665583851
G,6,A_datafit,0.1602971799481091,0.05456379908609125
G,6,B_ridge,0.5951520009865819,0.24545048214720414
G,6,C_mean,0.15754343163788187,0.0617097100515631
H,7,A_datafit,0.15961064890671178,0.05932192270360726
H,7,B_ridge,0.7521501423890546,0.27411102053028363
H,7,C_mean,0.3411733297528493,0.1313501779293436
K,8,A_datafit,0.163845843130752,0.06509928718487333
K,8,B_ridge,0.7502809766751708,0.2966720515340682
K,8,C_mean,0.222696156591483,0.08132207902700961
L,9,A_datafit,0.18279252206497354,0.07370131011818629
L,9,B_ridge,0.5510625332494098,0.24733196395390153
L,9,C_mean,0.19930246520913036,0.07525228074778564
