i,j,guild_i,guild_j,A_map,A_mean,A_std,CV,sign_consistency,prior
0,1,Actinobacteria,Bacilli,1.6067919200948826,0.004276090428023461,0.0005287073061973678,0.12364268602283801,1.0,5.0
0,2,Actinobacteria,Bacteroidia,1.1240304817093942,0.002454127690592274,0.00019005267775866155,0.07744204936328909,1.0,2.75
1,2,Bacilli,Bacteroidia,0.0017999214392230248,0.05579033422194439,0.00010393769582425059,0.0018630054340733465,1.0,3.0
0,3,Actinobacteria,Betaproteobacteria,1.669807449277893,0.005178809678325267,0.00027637715167591663,0.05336692576918409,1.0,2.5
1,3,Bacilli,Betaproteobacteria,1.8320145790871956,0.0005845855048668958,0.00018321872281133023,0.3134164656597965,1.0,5.5
2,3,Bacteroidia,Betaproteobacteria,1.1762737938590409,0.0004213194891753906,0.00022070411091056893,0.5238402603746922,0.9,2.25
0,4,Actinobacteria,Clostridia,0.0008722826482995041,0.021268652371598907,2.051304747336862e-05,0.0009644733062994023,1.0,1.0
1,4,Bacilli,Clostridia,0.10444916978813142,0.0008535110333606612,0.00015429615407573037,0.18077815991223478,1.0,2.0
2,4,Bacteroidia,Clostridia,0.5642677510448582,0.0036564433903699734,9.326973204530933e-05,0.025508321089000075,1.0,0.5
3,4,Betaproteobacteria,Clostridia,0.61677217846791,0.006460209169694753,0.00011240326503964739,0.017399322852724053,1.0,1.5
0,5,Actinobacteria,Coriobacteriia,0.016122933947707915,0.024811845973704484,0.00015270361676732744,0.0061544641591424615,1.0,1.5
1,5,Bacilli,Coriobacteriia,0.0013745807076757457,-0.04301995220691395,0.09224875411797887,2.1443248861432513,0.6,0.5
2,5,Bacteroidia,Coriobacteriia,0.4675705213348789,0.0012447197686560583,7.401238962308275e-05,0.05946108633190182,1.0,1.5
3,5,Betaproteobacteria,Coriobacteriia,0.1156670985019462,0.011975361981978433,2.4318278419260574e-05,0.0020306925549187435,1.0,1.5
4,5,Clostridia,Coriobacteriia,0.08188254231497995,0.002050198208581978,1.3838422492888578e-05,0.006749797378108109,1.0,2.0
0,6,Actinobacteria,Fusobacteriia,0.01315346499992442,0.015259414456581874,0.010729520264439938,0.7031410212343995,1.0,0.5
1,6,Bacilli,Fusobacteriia,0.041753022489709135,0.004008167965853979,6.649857889343911e-05,0.016590766519753605,1.0,3.0
2,6,Bacteroidia,Fusobacteriia,0.1218345335441691,-0.0256896832875756,0.0005022063678965137,0.0195489513153865,1.0,0.0
3,6,Betaproteobacteria,Fusobacteriia,0.6781091898674667,0.6847563899718209,0.04398897715429568,0.06424033101188864,1.0,1.0
4,6,Clostridia,Fusobacteriia,0.061838847043933824,-0.0006711351559924722,7.83990754494087e-05,0.11681562908662181,1.0,1.5
5,6,Coriobacteriia,Fusobacteriia,0.007657192617042828,0.025863206850037145,8.100115379450345e-06,0.0003131906815120536,1.0,1.5
0,7,Actinobacteria,Gammaproteobacteria,0.016776899766335555,0.024719192884664194,0.00022222138572411518,0.008989831778123366,1.0,1.0
1,7,Bacilli,Gammaproteobacteria,0.0006117794324053923,0.0005445099151334083,0.00030300273237551773,0.5564687142589133,0.9,2.5
2,7,Bacteroidia,Gammaproteobacteria,0.17561026800151103,0.0032664468678110575,2.927546966011246e-05,0.00896248151121185,1.0,1.0
3,7,Betaproteobacteria,Gammaproteobacteria,0.36305547957461937,0.0185443921032958,7.577339402536447e-05,0.0040860543501934285,1.0,2.5
4,7,Clostridia,Gammaproteobacteria,0.025776644536795373,0.04668311117208572,1.3478317529184634e-05,0.00028871935033421736,1.0,0.5
5,7,Coriobacteriia,Gammaproteobacteria,0.014121953335757635,0.019564953720421645,1.1697395464891577e-05,0.000597874936585308,1.0,1.0
6,7,Fusobacteriia,Gammaproteobacteria,0.019686813657917714,0.015559998233776831,6.030846075745786e-06,0.00038758655271916036,1.0,1.0
0,8,Actinobacteria,Negativicutes,0.0006976032038103669,0.027113308187813247,9.67536435256279e-05,0.0035684927436894715,1.0,5.75
1,8,Bacilli,Negativicutes,0.002560801529614929,0.0007405070552260302,0.00016048721699316208,0.216726114708219,1.0,5.0
2,8,Bacteroidia,Negativicutes,0.4712852653816364,0.003170603154775139,7.890439495687988e-05,0.024886241230803238,1.0,4.25
3,8,Betaproteobacteria,Negativicutes,0.491812019197456,0.0038127525231508807,7.883685096139151e-05,0.020677148722005247,1.0,4.5
4,8,Clostridia,Negativicutes,0.05499566159887768,0.04978058760412083,2.46526674106667e-05,0.0004952265249803109,1.0,1.0
5,8,Coriobacteriia,Negativicutes,0.1045319186913167,0.016451402185200473,4.342890996960938e-05,0.0026398303002207082,1.0,1.0
6,8,Fusobacteriia,Negativicutes,0.04612289334234559,-0.00024596002394185266,5.226039212783557e-05,0.2124751465310901,1.0,2.5
7,8,Gammaproteobacteria,Negativicutes,0.012524494234006936,0.05038200359274514,9.556977784465746e-06,0.00018969030810521244,1.0,1.0
0,9,Actinobacteria,Other,-0.30043024151358005,-0.2828958960826436,0.044155767288932966,0.15608486337332214,1.0,0.0
1,9,Bacilli,Other,-0.4957897460285768,-0.5334767121694082,0.060359720305299416,0.11314405845354293,1.0,0.0
2,9,Bacteroidia,Other,0.7346146264946923,0.7143711006785901,0.033983988812686564,0.04757189754793376,1.0,0.0
3,9,Betaproteobacteria,Other,0.46389307361345705,0.4631940310920615,0.03864164483806838,0.08342431517730033,1.0,0.0
4,9,Clostridia,Other,0.024747978262242166,0.025017464846501088,0.005955180613553357,0.23804093060957138,1.0,0.0
5,9,Coriobacteriia,Other,-0.03570946008131788,-0.03660446865632503,0.0023719271537843544,0.06479884125771895,1.0,0.0
6,9,Fusobacteriia,Other,0.04173675712482732,0.041976620011327286,0.007110006849662377,0.16938016561942718,1.0,0.0
7,9,Gammaproteobacteria,Other,0.02377591162489155,0.021707883803892426,0.005342873937302487,0.2461259690520575,1.0,0.0
8,9,Negativicutes,Other,0.1153366197302469,0.10418664747021496,0.021449091645511523,0.2058717903524386,1.0,0.0
