,Actinobacteria,Bacilli,Bacteroidia,Betaproteobacteria,Clostridia,Coriobacteriia,Fusobacteriia,Gammaproteobacteria,Negativicutes,Other
A_1,47.879999999999995,22.800000000000004,3.11,2.2999999999999994,4.74,8.24,0.25,4.2,6.18,0.29
A_2,20.200000000000003,62.650000000000006,2.09,6.63,0.15000000000000002,0.8,1.47,4.4,1.58,0.07
A_3,2.8600000000000003,20.0,12.25,44.08,5.71,0.0,6.53,2.04,3.27,3.27
B_1,3.25,37.529999999999994,17.63,22.560000000000002,5.709999999999999,0.1,6.3,0.30000000000000004,6.4,0.2
B_2,36.03,32.36,9.56,13.969999999999999,1.47,0.0,0.74,0.0,5.88,0.0
B_3,27.72,41.43,9.33,12.58,0.30000000000000004,0.06,2.59,0.15,5.79,0.02
C_1,26.53,33.52,2.8799999999999994,12.79,2.689999999999999,1.07,0.62,15.27,4.58,0.08
C_2,34.74,32.8,2.6999999999999997,2.37,1.36,2.3699999999999997,0.95,5.88,16.07,0.76
C_3,12.519999999999998,39.42999999999999,2.8400000000000003,13.95,1.3300000000000003,3.7600000000000002,1.3,17.78,6.9,0.21
D_1,1.76,93.18,0.22,1.1,0.88,0.0,0.0,0.0,2.64,0.22
D_2,10.62,88.64,0.0,0.11000000000000001,0.0,0.0,0.0,0.04,0.55,0.04
D_3,16.3,57.669999999999995,0.0,7.06,0.73,8.52,0.0,2.92,6.81,0.0
E_1,10.319999999999999,53.06999999999999,11.47,0.4,2.25,0.88,0.02,2.22,19.349999999999998,0.04
E_2,15.19,71.52,3.47,1.2000000000000002,0.35000000000000003,0.0,0.16999999999999998,0.66,7.35,0.11
E_3,10.659999999999998,67.78,3.7499999999999996,4.76,0.6900000000000001,0.5900000000000001,0.19,0.9400000000000001,10.510000000000002,0.1
F_1,62.05,16.130000000000003,7.12,0.04,0.8999999999999999,10.8,0.21000000000000002,0.06,2.62,0.09
F_2,52.9,24.11,4.53,0.58,0.5700000000000001,3.61,2.77,0.0,10.85,0.08
F_3,32.22,44.43999999999999,6.9,1.6,0.11000000000000001,0.91,1.04,0.01,12.610000000000001,0.18000000000000002
G_1,3.4899999999999998,77.24999999999999,6.05,3.9099999999999997,0.27,0.02,1.5899999999999999,4.53,2.9,0.0
G_2,26.220000000000002,53.51,8.209999999999999,2.5700000000000003,0.44000000000000006,1.61,0.48000000000000004,0.77,5.17,0.99
G_3,18.39,73.35,0.77,6.38,0.09,0.18,0.08,0.44,0.30000000000000004,0.03
H_1,8.620000000000001,56.93,4.77,17.029999999999998,2.03,0.38,0.89,7.94,1.19,0.22
H_2,19.36,30.139999999999997,14.059999999999999,29.12,1.32,0.57,0.1,1.48,3.6299999999999994,0.21
H_3,20.8,50.07,4.770000000000001,22.750000000000004,0.11,0.03,0.32,0.72,0.39,0.05
K_1,14.02,74.33,0.03,0.44,1.02,0.01,3.53,2.4699999999999998,4.1499999999999995,0.01
K_2,0.9500000000000001,94.91,0.0,0.0,0.0,0.07,0.0,0.0,4.07,0.0
K_3,31.930000000000003,52.419999999999995,3.0900000000000003,2.5599999999999996,1.31,0.86,0.92,2.4,4.33,0.17
L_1,5.86,91.32,0.0,0.43,0.22,0.0,1.74,0.22,0.22,0.0
L_2,31.03,60.75,0.0,0.8,0.0,0.0,0.0,4.77,2.65,0.0
L_3,3.92,88.02,0.53,0.0,0.29000000000000004,2.1599999999999997,0.26,0.64,4.14,0.04
