sample,Abiotrophia,Acanthostaurus,Actinomyces,Aerococcus,Aggregatibacter,Alloprevotella,Anaerococcus,Atopobium,Bifidobacterium,Campylobacter,Capnocytophaga,Cardiobacterium,Catonella,Centipeda,Corynebacterium,Cryptobacterium,Dialister,Eikenella,Finegoldia,Fusobacterium,Gemella,Granulicatella,Haemophilus,Johnsonella,Kingella,Lachnoanaerobaculum,Lacticaseibacillus,Lactiplantibacillus,Leptotrichia,Limosilactobacillus,Megasphaera,Mogibacterium,Neisseria,Olsenella,Oribacterium,P5D1-392,Parvimonas,Peptoniphilus,Peptostreptococcus,Porphyromonas,Prevotella,Prevotella_7,Pseudomonas,Rothia,Selenomonas,Shuttleworthia,Slackia,Solobacterium,Stomatobaculum,Streptococcus,Tannerella,Treponema,Veillonella
A_1,3.17,0.0,4.36,0.0,0.01,0.09,0.0,7.44,42.9,0.05,0.36,0.0,0.0,0.04,0.01,0.47,0.01,0.03,0.0,0.18,4.41,0.55,4.2,0.0,0.03,0.13,0.0,0.0,0.07,0.3,0.5,2.44,2.23,0.33,0.61,0.0,0.01,0.0,0.72,0.33,2.33,0.0,0.0,0.61,1.3,0.24,0.0,0.03,0.8,14.37,0.0,0.0,4.33
A_2,13.74,0.0,14.01,0.0,0.04,0.0,0.0,0.79,0.69,0.05,1.89,0.03,0.0,0.0,0.01,0.01,0.03,0.54,0.0,0.28,0.65,0.31,4.4,0.05,1.06,0.01,0.0,0.0,1.19,0.0,0.03,0.01,4.96,0.0,0.0,0.0,0.01,0.0,0.06,0.03,0.15,0.0,0.0,5.49,0.03,0.02,0.0,0.0,0.01,47.95,0.02,0.0,1.49
A_3,2.04,0.0,2.45,4.08,0.0,0.0,1.22,0.0,0.0,3.27,11.84,0.41,0.0,0.0,0.0,0.0,0.0,1.22,3.27,4.9,4.08,0.0,2.04,0.0,0.0,0.0,0.0,0.0,1.63,0.0,0.0,0.0,42.45,0.0,0.0,0.0,0.0,1.22,0.0,0.0,0.41,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,9.8,0.0,0.0,3.27
B_1,0.69,0.0,3.05,0.0,0.0,0.59,0.0,0.1,0.0,0.2,13.69,0.1,0.1,0.0,0.0,0.0,0.0,3.74,0.0,5.91,1.08,1.08,0.2,1.87,0.0,1.87,0.0,0.0,0.39,0.0,0.0,0.1,18.72,0.0,0.0,0.0,0.1,0.0,1.18,0.0,3.35,0.0,0.1,0.2,0.49,0.0,0.0,0.0,0.49,34.68,0.0,0.0,5.91
B_2,1.47,0.0,3.68,0.74,0.0,0.0,0.0,0.0,0.0,0.0,9.56,0.0,0.0,0.0,0.0,0.0,0.0,2.21,0.0,0.74,0.0,2.21,0.0,0.0,0.0,1.47,0.0,0.0,0.0,0.0,0.0,0.0,11.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.35,0.0,0.0,0.0,0.0,0.0,27.94,0.0,0.0,5.88
B_3,6.18,0.0,11.58,0.0,0.0,0.06,0.0,0.04,0.43,0.02,8.99,0.17,0.0,0.0,0.0,0.02,0.0,0.11,0.0,1.19,0.15,0.22,0.13,0.02,0.0,0.13,0.0,0.0,1.4,0.02,0.0,0.02,12.3,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.02,15.71,0.0,0.0,0.0,0.0,0.11,34.86,0.0,0.0,5.79
C_1,0.1,0.0,12.18,0.02,0.0,0.15,0.03,0.93,12.85,0.02,1.83,0.0,0.02,0.0,0.06,0.0,0.03,0.02,0.07,0.45,0.94,1.69,15.27,0.05,0.0,1.24,0.0,0.0,0.17,0.02,0.0,0.13,12.77,0.14,0.5,0.01,0.0,0.06,0.48,0.01,0.88,0.0,0.0,1.42,1.05,0.05,0.02,0.09,0.02,30.75,0.01,0.0,3.5
C_2,0.88,0.0,33.85,0.0,0.06,0.1,0.03,1.89,0.72,0.1,0.81,0.1,0.0,0.03,0.03,0.01,0.06,0.04,0.03,0.88,0.11,0.87,5.88,0.0,0.03,0.08,0.0,0.0,0.07,0.0,0.0,0.47,2.14,0.47,0.37,0.0,0.0,0.0,0.25,0.0,1.71,0.01,0.0,0.07,8.84,0.66,0.07,0.03,0.1,30.94,0.07,0.0,7.14
C_3,0.04,0.0,6.68,0.0,0.02,0.1,0.01,2.24,5.38,0.0,2.29,0.0,0.04,0.12,0.0,0.0,0.28,0.06,0.01,0.87,0.3,3.11,17.77,0.05,0.0,0.53,0.0,0.0,0.43,0.0,0.0,0.08,13.87,1.52,0.29,0.0,0.0,0.02,0.16,0.0,0.45,0.0,0.01,0.44,2.4,0.21,0.02,0.08,0.06,35.98,0.0,0.0,4.1
D_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,1.54,36.04,0.0,45.49,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.88,0.0,0.0,0.22,0.0,0.0,1.54,0.0,0.0,0.0,0.0,0.0,9.89,0.0,0.0,2.64
