sample	genus	count	percent
A_1	Bifidobacterium	3258	42.90
A_1	Streptococcus	1091	14.37
A_1	Atopobium	565	7.44
A_1	Gemella	335	4.41
A_1	Actinomyces	331	4.36
A_1	Veillonella	329	4.33
A_1	Haemophilus	319	4.20
A_1	Abiotrophia	241	3.17
A_1	Mogibacterium	185	2.44
A_1	Prevotella	177	2.33
A_1	Neisseria	169	2.23
A_1	Selenomonas	99	1.30
A_1	Stomatobaculum	61	0.80
A_1	Peptostreptococcus	55	0.72
A_1	Rothia	46	0.61
A_1	Oribacterium	46	0.61
A_1	Granulicatella	42	0.55
A_1	Megasphaera	38	0.50
A_1	Cryptobacterium	36	0.47
A_1	Capnocytophaga	27	0.36
A_1	Porphyromonas	25	0.33
A_1	Olsenella	25	0.33
A_1	Limosilactobacillus	23	0.30
A_1	Shuttleworthia	18	0.24
A_1	Fusobacterium	14	0.18
A_1	Lachnoanaerobaculum	10	0.13
A_1	Alloprevotella	7	0.09
A_1	Leptotrichia	5	0.07
A_1	Campylobacter	4	0.05
A_1	Centipeda	3	0.04
A_1	Kingella	2	0.03
A_1	Eikenella	2	0.03
A_1	Solobacterium	2	0.03
A_1	Dialister	1	0.01
A_1	Aggregatibacter	1	0.01
A_1	Parvimonas	1	0.01
A_1	Corynebacterium	1	0.01
