sample	genus	count	percent
B_1	Streptococcus	352	34.68
B_1	Neisseria	190	18.72
B_1	Capnocytophaga	139	13.69
B_1	Veillonella	60	5.91
B_1	Fusobacterium	60	5.91
B_1	Eikenella	38	3.74
B_1	Prevotella	34	3.35
B_1	Actinomyces	31	3.05
B_1	Lachnoanaerobaculum	19	1.87
B_1	Johnsonella	19	1.87
B_1	Peptostreptococcus	12	1.18
B_1	Gemella	11	1.08
B_1	Granulicatella	11	1.08
B_1	Abiotrophia	7	0.69
B_1	Alloprevotella	6	0.59
B_1	Selenomonas	5	0.49
B_1	Stomatobaculum	5	0.49
B_1	Leptotrichia	4	0.39
B_1	Campylobacter	2	0.20
B_1	Haemophilus	2	0.20
B_1	Rothia	2	0.20
B_1	Parvimonas	1	0.10
B_1	Catonella	1	0.10
B_1	Atopobium	1	0.10
B_1	Cardiobacterium	1	0.10
B_1	Mogibacterium	1	0.10
B_1	Pseudomonas	1	0.10
