sample	genus	count	percent
C_3	Streptococcus	3969	35.98
C_3	Haemophilus	1960	17.77
C_3	Neisseria	1530	13.87
C_3	Actinomyces	737	6.68
C_3	Bifidobacterium	593	5.38
C_3	Veillonella	452	4.10
C_3	Granulicatella	343	3.11
C_3	Selenomonas	265	2.40
C_3	Capnocytophaga	253	2.29
C_3	Atopobium	247	2.24
C_3	Olsenella	168	1.52
C_3	Fusobacterium	96	0.87
C_3	Lachnoanaerobaculum	58	0.53
C_3	Prevotella	50	0.45
C_3	Rothia	48	0.44
C_3	Leptotrichia	47	0.43
C_3	Gemella	33	0.30
C_3	Oribacterium	32	0.29
C_3	Dialister	31	0.28
C_3	Shuttleworthia	23	0.21
C_3	Peptostreptococcus	18	0.16
C_3	Centipeda	13	0.12
C_3	Alloprevotella	11	0.10
C_3	Solobacterium	9	0.08
C_3	Mogibacterium	9	0.08
C_3	Eikenella	7	0.06
C_3	Stomatobaculum	7	0.06
C_3	Johnsonella	5	0.05
C_3	Abiotrophia	4	0.04
C_3	Catonella	4	0.04
C_3	Slackia	2	0.02
C_3	Peptoniphilus	2	0.02
C_3	Aggregatibacter	2	0.02
C_3	Finegoldia	1	0.01
C_3	Pseudomonas	1	0.01
C_3	Anaerococcus	1	0.01
