sample	genus	count	percent
E_1	Streptococcus	2179	42.84
E_1	Selenomonas	716	14.08
E_1	Prevotella	564	11.09
E_1	Actinomyces	463	9.10
E_1	Gemella	357	7.02
E_1	Veillonella	258	5.07
E_1	Granulicatella	155	3.05
E_1	Haemophilus	113	2.22
E_1	Mogibacterium	84	1.65
E_1	Rothia	60	1.18
E_1	Atopobium	45	0.88
E_1	Neisseria	14	0.28
E_1	Peptostreptococcus	14	0.28
E_1	Capnocytophaga	11	0.22
E_1	Oribacterium	11	0.22
E_1	Megasphaera	10	0.20
E_1	Abiotrophia	6	0.12
E_1	Porphyromonas	5	0.10
E_1	Solobacterium	4	0.08
E_1	Alloprevotella	3	0.06
E_1	Aggregatibacter	3	0.06
E_1	Kingella	3	0.06
E_1	Bifidobacterium	2	0.04
E_1	Aerococcus	2	0.04
E_1	Stomatobaculum	1	0.02
E_1	Acanthostaurus	1	0.02
E_1	Campylobacter	1	0.02
E_1	Fusobacterium	1	0.02
