sample	genus	count	percent
F_3	Streptococcus	4787	42.21
F_3	Actinomyces	2613	23.04
F_3	Veillonella	1229	10.84
F_3	Bifidobacterium	757	6.68
F_3	Alloprevotella	345	3.04
F_3	Prevotella	326	2.87
F_3	Rothia	274	2.42
F_3	Limosilactobacillus	188	1.66
F_3	Selenomonas	187	1.65
F_3	Kingella	176	1.55
F_3	Leptotrichia	105	0.93
F_3	Atopobium	102	0.90
F_3	Capnocytophaga	91	0.80
F_3	Lacticaseibacillus	33	0.29
F_3	Tannerella	21	0.19
F_3	Granulicatella	17	0.15
F_3	Gemella	14	0.12
F_3	Fusobacterium	12	0.11
F_3	Campylobacter	9	0.08
F_3	Shuttleworthia	9	0.08
F_3	Dialister	8	0.07
F_3	Stomatobaculum	8	0.07
F_3	Slackia	6	0.05
F_3	Megasphaera	6	0.05
F_3	Corynebacterium	3	0.03
F_3	Eikenella	2	0.02
F_3	Cardiobacterium	2	0.02
F_3	Mogibacterium	2	0.02
F_3	Parvimonas	2	0.02
F_3	Lactiplantibacillus	1	0.01
F_3	P5D1-392	1	0.01
F_3	Haemophilus	1	0.01
F_3	Neisseria	1	0.01
F_3	Cryptobacterium	1	0.01
F_3	Treponema	1	0.01
