sample	genus	count	percent
G_1	Streptococcus	6891	66.69
G_1	Abiotrophia	852	8.25
G_1	Haemophilus	468	4.53
G_1	Actinomyces	320	3.10
G_1	Capnocytophaga	308	2.98
G_1	Veillonella	292	2.83
G_1	Neisseria	259	2.51
G_1	Porphyromonas	210	2.03
G_1	Granulicatella	189	1.83
G_1	Leptotrichia	124	1.20
G_1	Kingella	113	1.09
G_1	Prevotella	58	0.56
G_1	Gemella	48	0.46
G_1	Alloprevotella	48	0.46
G_1	Fusobacterium	40	0.39
G_1	Rothia	34	0.33
G_1	Eikenella	32	0.31
G_1	Peptostreptococcus	21	0.20
G_1	Selenomonas	7	0.07
G_1	Bifidobacterium	5	0.05
G_1	Atopobium	2	0.02
G_1	Aerococcus	2	0.02
G_1	Tannerella	2	0.02
G_1	Finegoldia	2	0.02
G_1	Johnsonella	1	0.01
G_1	Parvimonas	1	0.01
G_1	Anaerococcus	1	0.01
G_1	Lachnoanaerobaculum	1	0.01
G_1	Corynebacterium	1	0.01
G_1	Solobacterium	1	0.01
