sample	genus	count	percent
H_3	Streptococcus	6416	48.45
H_3	Neisseria	2459	18.57
H_3	Rothia	2291	17.30
H_3	Aggregatibacter	543	4.10
H_3	Actinomyces	392	2.96
H_3	Porphyromonas	357	2.70
H_3	Capnocytophaga	191	1.44
H_3	Granulicatella	113	0.85
H_3	Haemophilus	96	0.72
H_3	Corynebacterium	72	0.54
H_3	Gemella	54	0.41
H_3	Prevotella	53	0.40
H_3	Abiotrophia	48	0.36
H_3	Fusobacterium	40	0.30
H_3	Veillonella	31	0.23
H_3	Alloprevotella	30	0.23
H_3	Selenomonas	21	0.16
H_3	Cardiobacterium	9	0.07
H_3	Campylobacter	7	0.05
H_3	Oribacterium	6	0.05
H_3	Atopobium	4	0.03
H_3	Leptotrichia	3	0.02
H_3	Peptostreptococcus	2	0.02
H_3	Lachnoanaerobaculum	2	0.02
H_3	Mogibacterium	1	0.01
H_3	Eikenella	1	0.01
H_3	Catonella	1	0.01
