sample	genus	count	percent
K_3	Streptococcus	4384	40.77
K_3	Actinomyces	2254	20.96
K_3	Rothia	1166	10.84
K_3	Limosilactobacillus	842	7.83
K_3	Veillonella	465	4.32
K_3	Kingella	265	2.46
K_3	Haemophilus	258	2.40
K_3	Prevotella	234	2.18
K_3	Granulicatella	201	1.87
K_3	Lacticaseibacillus	147	1.37
K_3	Parvimonas	114	1.06
K_3	Fusobacterium	99	0.92
K_3	Capnocytophaga	94	0.87
K_3	Atopobium	93	0.86
K_3	Gemella	55	0.51
K_3	Solobacterium	24	0.22
K_3	Campylobacter	17	0.16
K_3	Corynebacterium	11	0.10
K_3	Eikenella	10	0.09
K_3	Lactiplantibacillus	7	0.07
K_3	Alloprevotella	4	0.04
K_3	Lachnoanaerobaculum	3	0.03
K_3	Bifidobacterium	2	0.02
K_3	Shuttleworthia	1	0.01
K_3	Slackia	1	0.01
K_3	Neisseria	1	0.01
K_3	Dialister	1	0.01
