sample	genus	count	percent
L_3	Limosilactobacillus	3768	46.67
L_3	Streptococcus	3184	39.44
L_3	Veillonella	331	4.10
L_3	Rothia	177	2.19
L_3	Atopobium	162	2.01
L_3	Actinomyces	132	1.63
L_3	Lacticaseibacillus	91	1.13
L_3	Haemophilus	52	0.64
L_3	Granulicatella	52	0.64
L_3	Prevotella	43	0.53
L_3	Fusobacterium	21	0.26
L_3	Gemella	11	0.14
L_3	Parvimonas	10	0.12
L_3	Slackia	8	0.10
L_3	Cryptobacterium	7	0.09
L_3	Oribacterium	7	0.09
L_3	Olsenella	5	0.06
L_3	Solobacterium	3	0.04
L_3	Dialister	3	0.04
L_3	Campylobacter	3	0.04
L_3	Lachnoanaerobaculum	2	0.02
L_3	Stomatobaculum	2	0.02
