cond,day,species,com_depth_um
CH,1,S.oralis,19.220779603907815
CH,6,S.oralis,35.636083529893
CH,10,S.oralis,13.060005360131827
CH,15,S.oralis,24.996835214769813
CH,21,S.oralis,20.032108762074216
CH,1,A.naeslundii,13.151030740749102
CH,6,A.naeslundii,32.02638565521317
CH,10,A.naeslundii,13.902362038911
CH,15,A.naeslundii,22.34524765271049
CH,21,A.naeslundii,18.539210777387368
CH,1,Vd/Vp,12.359135384797751
CH,6,Vd/Vp,30.628343991282627
CH,10,Vd/Vp,12.982408550197217
CH,15,Vd/Vp,20.618452839578413
CH,21,Vd/Vp,16.483200107619382
CH,1,F.nucleatum,13.003944738925185
CH,6,F.nucleatum,33.91547399349236
CH,10,F.nucleatum,14.506063643586709
CH,15,F.nucleatum,21.614243569198564
CH,21,F.nucleatum,17.753714315572868
CH,1,P.gingivalis,11.829397476948726
CH,6,P.gingivalis,27.912073822599208
CH,10,P.gingivalis,15.070286389363462
CH,15,P.gingivalis,21.396914778700047
CH,21,P.gingivalis,18.11945764952544
DH,1,S.oralis,10.904413204919223
DH,6,S.oralis,34.602399807493356
DH,10,S.oralis,40.76804377640072
DH,15,S.oralis,29.423845550261603
DH,21,S.oralis,36.19010795990826
DH,1,A.naeslundii,8.376897256123444
DH,6,A.naeslundii,33.34892710761527
DH,10,A.naeslundii,42.46868102507513
DH,15,A.naeslundii,29.717895915578023
DH,21,A.naeslundii,39.38340791108948
DH,1,Vd/Vp,9.207073112810871
DH,6,Vd/Vp,31.37411485925214
DH,10,Vd/Vp,39.85936958335516
DH,15,Vd/Vp,28.79459053350978
DH,21,Vd/Vp,34.41796784416595
DH,1,F.nucleatum,8.342211657808285
DH,6,F.nucleatum,35.74119191027041
DH,10,F.nucleatum,44.24378186152348
DH,15,F.nucleatum,31.621911329431047
DH,21,F.nucleatum,37.97364354303376
DH,1,P.gingivalis,7.342352673749163
DH,6,P.gingivalis,38.70759468848805
DH,10,P.gingivalis,44.61278742235338
DH,15,P.gingivalis,28.9986226943834
DH,21,P.gingivalis,41.54742589395127
