cond,day,pearson,manders_pg_on_fn
CH,1,0.2933741653718146,0.4282156269059142
CH,1,0.26295307107789023,0.3348153332800117
CH,1,0.20492446252164387,0.23035799005169702
CH,1,0.16318978428231656,0.18262092964166676
CH,1,0.36476223406928404,0.5867546608811292
CH,1,0.2807669352770228,0.4759943218482591
CH,1,0.35876138758544124,0.4866406283716715
CH,1,0.36384271125964146,0.5330287969006184
CH,1,0.36407538037584436,0.6097908821420268
CH,1,0.32217672278993903,0.6042684806879016
CH,1,0.373729161504753,0.6255720561649915
CH,1,0.15112095717044322,0.10310351958958666
CH,1,0.12534895187383538,0.08568951344623167
CH,1,0.13815025884655965,0.08445552072600593
CH,1,0.16689420295748758,0.13264276997483088
CH,15,0.24734508096978217,0.19707657713175109
CH,15,0.197984636649279,0.18985757896404065
CH,15,0.2329081714311904,0.22715587203217455
CH,15,0.276508177116246,0.25278068254958574
CH,15,0.2306033697736235,0.37240587427851407
CH,15,0.20831390044226608,0.3351047056234932
CH,15,0.27539840585879555,0.28143284777365735
CH,21,0.2757213992962345,0.4396521884452944
CH,21,0.24015944386815752,0.16785359496001911
CH,21,0.24770792688742552,0.13587511357169244
CH,21,0.19409391839882165,0.21303823956019033
CH,10,0.3717562773349524,0.32638488581496283
CH,10,0.36411848802576813,0.45243899797392667
CH,10,0.3950803179450351,0.7895058384112826
CH,10,0.2791029955339607,0.26705907368011345
CH,10,0.2527003121931316,0.33554618918121926
CH,10,0.04721726215694867,0.7906330228920974
CH,10,0.1962027807515753,0.7661393812063623
CH,10,0.3002037865470656,0.5242367555492682
CH,10,0.28531937618764147,0.4047149750887792
CH,10,0.3029947545278863,0.46038338690464803
CH,10,0.32103700559896464,0.5435686827913823
CH,10,0.29109689820607954,0.48152392584858456
CH,10,0.3088640930744311,0.46341989385249854
CH,10,-0.05774401287415945,0.373709857566034
CH,10,-0.01298131392932688,0.35973136577867626
CH,15,0.24226210365945752,0.30910228744322105
CH,15,0.2713409869943867,0.43399551805365155
CH,15,0.31538629281524,0.5192206695724931
CH,15,0.2946315665367661,0.5708805511229886
CH,15,0.29752671952842147,0.5595185876214185
CH,15,0.21931221490928218,0.2432101614736629
CH,15,0.21632998538055354,0.22317041011800884
CH,15,0.237182150615396,0.26422648265004567
CH,15,0.25577883319158895,0.26439191873581264
CH,21,0.20688272549653838,0.17751335567222118
CH,21,0.2115756218139035,0.1768930892188437
CH,21,0.19497755528645105,0.20888573952868114
CH,21,0.18733900069924564,0.1740181280019586
CH,21,0.19561500078153427,0.2127856462209189
CH,21,0.2086031359959589,0.1641413036810065
CH,21,0.18871717474571492,0.23593768499600787
CH,21,0.23652396430487171,0.2705690039921389
CH,21,0.19673966657028752,0.20626880446885842
CH,21,0.28330819378070804,0.13667353028925786
CH,21,0.22674641565621512,0.153605477796895
CH,21,0.258116013025996,0.161187619989328
CH,6,0.29118596485566006,0.4595246484690545
CH,6,0.2497473275576132,0.4044584025264518
CH,6,0.2543204915718082,0.37413267167188435
CH,6,0.20773287551778388,0.4588660035700713
CH,6,0.28267692660124677,0.38909412252154646
DH,6,0.12761952387776979,0.15618647086624837
DH,15,-0.09596170118731252,0.24961252828304353
DH,21,0.09312757901029156,0.18920259155360727
DH,10,0.15095015102119796,0.17857887994831664
DH,6,0.21270826075512922,0.2225947665218658
DH,6,0.20650761411739813,0.20107009043774401
DH,10,0.14756934030797214,0.13137825342385115
DH,10,0.15811101239691813,0.13745231675438335
DH,15,0.08989279783784551,0.15281715660028297
DH,21,0.15430560564196458,0.2154737363923865
DH,1,0.4303666259840841,0.6963554965717894
DH,1,0.40821389428918015,0.777715375648292
DH,1,0.47066323412746347,0.8827641201032592
DH,1,0.32967960461503804,0.6562063446004243
DH,1,0.41415251833126704,0.6465917842066973
DH,1,0.4565180265908237,1.0000019366855084
DH,1,0.34101093701800245,0.6617313708721573
