condition,day,S.oralis,A.naeslundii,Vd/Vp,F.nucleatum,P.gingivalis
CH,1,19.220779603907815,13.151030740749102,12.359135384797751,13.003944738925185,11.829397476948726
CH,6,35.636083529893,32.02638565521317,30.628343991282627,33.91547399349236,27.912073822599208
CH,10,13.060005360131827,13.902362038911,12.982408550197217,14.506063643586709,15.070286389363462
CH,15,24.996835214769813,22.34524765271049,20.618452839578413,21.614243569198564,21.396914778700047
CH,21,20.032108762074216,18.539210777387368,16.483200107619382,17.753714315572868,18.11945764952544
DH,1,10.904413204919223,8.376897256123444,9.207073112810871,8.342211657808285,7.342352673749163
DH,6,34.602399807493356,33.34892710761527,31.37411485925214,35.74119191027041,38.70759468848805
DH,10,40.76804377640072,42.46868102507513,39.85936958335516,44.24378186152348,44.61278742235338
DH,15,29.423845550261603,29.717895915578023,28.79459053350978,31.621911329431047,28.9986226943834
DH,21,36.19010795990826,39.38340791108948,34.41796784416595,37.97364354303376,41.54742589395127
