cond,tag,success,loss,u,Nz,dt,fd_eps,restarts,D[S.o],D[A.n],D[Vd/Vp],D[F.n],D[P.g],file
CH,nz32_eps1e-3,True,0.03007502922529106,9.999999999999997e-06,32.0,0.05,0.001,8.0,9.999999999999997e-06,9.999999999999997e-06,0.0014816514403779059,0.010617626712221155,9.999999999999997e-06,D_fit_CH_nz32_eps1e-3.json
CH,nz32_eps3e-3,True,0.030075368275013063,9.999999999999997e-06,32.0,0.05,0.003,8.0,9.999999999999997e-06,9.999999999999997e-06,0.002501612469610117,0.009686502466066985,9.999999999999997e-06,D_fit_CH_nz32_eps3e-3.json
CH,nz48_eps1e-3,False,0.08458443527789514,0.006245553097768747,48.0,0.05,0.001,8.0,0.027353771968798964,0.001205369790987792,0.000446196439039901,0.00043576853440969814,0.005957873078177285,D_fit_CH_nz48_eps1e-3.json
CH,nz48_eps3e-4,False,0.12497328861553361,0.006947337523426627,48.0,0.05,0.0003,8.0,0.028584357459547214,0.006063233701088786,0.004552378040045015,0.0056090869636067,0.005731835213486247,D_fit_CH_nz48_eps3e-4.json
CH,nz48_eps3e-3,True,0.12535862904224904,0.006989906639917368,48.0,0.05,0.003,8.0,0.02776708528095869,0.006394973051595924,0.00220154011869777,0.0023535967459821514,0.005971063228491114,D_fit_CH_nz48_eps3e-3.json
CH,(baseline),False,0.1283534691180647,0.0037771026314484244,,,,,0.012260718607895878,0.012092316663261923,0.0041752756287871074,0.007534328070682044,0.011496108472448353,D_fit_CH.json
DH,fast_nz24,True,0.09080507293190412,0.006972453695125183,24.0,0.1,0.002,12.0,0.010011636386219505,0.0003262877659346592,1.0007577397375257e-05,0.001958954713608165,0.001344409858064892,D_fit_DH_fast_nz24.json
DH,nz32_eps1e-3,False,0.09956290189112577,0.004767267817021273,32.0,0.05,0.001,8.0,0.03490561600485621,0.009670336360001747,0.005726921507371737,0.011112342526573872,0.008530432232846033,D_fit_DH_nz32_eps1e-3.json
DH,nz32_eps3e-3,False,0.09971348880862804,0.004721603177410735,32.0,0.05,0.003,8.0,0.058142627106213166,0.00943742066361331,0.004387746836577703,0.011278235530214033,0.008328107224320851,D_fit_DH_nz32_eps3e-3.json
DH,nz32_eps3e-4,False,0.09985426094487769,0.004783407833810372,32.0,0.05,0.0003,8.0,0.0339248671958983,0.008878703848297372,0.007669691868032284,0.011078914764043624,0.00792772135706742,D_fit_DH_nz32_eps3e-4.json
DH,(baseline),False,0.10041230169981612,0.006089251381782797,,,,,0.024736592164261974,0.0067701684940340515,0.0038310852999445823,0.005514548521429386,0.006813313778184465,D_fit_DH.json
DH,fast_nz30,False,0.10953923149516932,0.008227989732523927,30.0,0.08,0.002,10.0,0.0016634870995921936,0.008490017200915589,0.036502659728789105,0.004457724931070315,0.004783717316133753,D_fit_DH_fast_nz30.json
DH,nz48_eps3e-3,False,0.15429472667417282,0.015516033926725764,48.0,0.05,0.003,8.0,0.021140513859991727,0.017197564765673783,0.010364657448309708,0.005787745250961562,0.021858927634776034,D_fit_DH_nz48_eps3e-3.json
DH,nz48_eps1e-3,False,0.15430067368098385,0.004727397600775338,48.0,0.05,0.001,8.0,0.01953645611915635,0.012243945766646313,0.01035682015137155,0.010110071231489206,0.018292143288914826,D_fit_DH_nz48_eps1e-3.json
DH,nz48_eps3e-4,True,0.1544580929416971,0.005862425649302028,48.0,0.05,0.0003,8.0,0.014630747082757169,0.006243875456094491,0.009240914732748119,0.014638549523134958,0.00631157825304957,D_fit_DH_nz48_eps3e-4.json
