cond,day,S.oralis,A.naeslundii,Vd/Vp,F.nucleatum,P.gingivalis,total
CH,1,16526311.3125,20294922.3125,20701405.6875,8758270.75,15880016.53125,82160926.59375
CH,6,17988319.75,15931998.75,32539386.0,7681133.25,8313580.5,82454418.25
CH,10,13789396.59375,28251518.6875,15511906.5625,16904399.375,15804505.546875,90261726.765625
CH,15,33041724.875,31882409.0625,27976377.1875,14942245.8125,19518446.34375,127361203.28125
CH,21,24854627.5625,26172130.625,16725628.34375,11244141.359375,19415563.9375,98412091.828125
DH,1,21777520.875,22557400.25,11772357.375,11936458.21875,6077775.890625,74121512.609375
DH,6,15663788.75,18494133.0,17844137.5,5065486.5,11940502.0,69008047.75
DH,10,10625671.75,11835552.0,12694273.75,5127997.5,9906108.75,50189603.75
DH,15,4444086.5,7673113.0,8216746.25,4166017.5,6313042.25,30813005.5
DH,21,6144827.5,8239039.0,9446847.5,4248713.375,7388743.5,35468170.875
