condition,day,z_um,S.oralis,A.naeslundii,Vd/Vp,F.nucleatum,P.gingivalis
CH,1,0.0,0.021211171398560207,0.046666645196576914,0.027727166702970863,0.011644403543323278,0.053659180148194235
CH,1,1.1138611965811966,0.021912881225729597,0.07256815401821308,0.04689689068497819,0.022024116207423627,0.07053981205591789
CH,1,2.2277223931623933,0.022468533970288227,0.0919094542773743,0.06580414907951067,0.032309271925741914,0.08075952579816564
CH,1,3.34158358974359,0.022419280792849185,0.14148692023486664,0.09831168462928291,0.04865449802854505,0.11878073963885889
CH,1,4.455444786324787,0.023788972223639227,0.17219712394170272,0.12405417301397546,0.06020917347990549,0.1429315391036435
CH,1,5.569305982905982,0.028520092212905485,0.1697068414213056,0.138416940631329,0.0660848168325889,0.1367610354326729
CH,1,6.68316717948718,0.036911334730207156,0.15788136900235447,0.1449007490506539,0.07034023911334002,0.12102327279937569
CH,1,7.7970283760683765,0.04443105829831882,0.17030555409435025,0.16163885317519944,0.08252287642059161,0.12064647991687824
CH,1,8.910889572649573,0.054747819617135894,0.19362481604529247,0.18179901011097124,0.09812186028744674,0.12498152965409125
CH,1,10.024750769230769,0.06837581827854498,0.19508123560211602,0.1920289979531215,0.10419816431613303,0.11834508705979739
CH,1,11.138611965811965,0.08339043560827898,0.17953126159870728,0.19339187008957576,0.10240083224434628,0.10445272273614875
CH,1,12.252473162393162,0.09533795429091169,0.15492483658923037,0.18671599337433137,0.09451650322502494,0.08788209166536984
CH,1,13.36633435897436,0.10113225678602858,0.1264074188394424,0.1669075410717573,0.08029832389110171,0.07173969850708276
CH,1,14.480195555555555,0.10647335284286073,0.10050798522101512,0.1478316312862767,0.06722958319716985,0.05666913820637598
CH,1,15.594056752136753,0.11261918874632598,0.0800259209978275,0.12849161797163322,0.055878386235772036,0.04330404207874567
CH,1,16.70791794871795,0.11396658158837218,0.07230514441736234,0.11421453377757317,0.050532993010412426,0.03685362309647296
CH,1,17.821779145299146,0.11396248573676135,0.06714729910286574,0.10156793095744573,0.046239671096778845,0.03201505610735243
CH,1,18.935640341880344,0.11331997504855833,0.061858031306511324,0.08876957904356413,0.04152207599841377,0.027664234937351737
CH,1,20.049501538461538,0.11208038121843951,0.057208825948719795,0.07691802095788987,0.037226829984679057,0.024233080050311034
CH,1,21.163362735042735,0.1102182344875784,0.05339082111087111,0.06637091394115843,0.03379909143998072,0.021732603738673476
CH,1,22.27722393162393,0.10592524031352286,0.04938031235534667,0.05674872913758042,0.03029924680192311,0.019511917936337046
CH,1,23.391085128205127,0.09782810584665874,0.044966363496123214,0.04745186595037246,0.02655104047690447,0.017649044134677983
CH,1,24.504946324786324,0.0887240210818684,0.04068080176495843,0.03833865374336657,0.023048449663095105,0.01613884936763435
CH,1,25.618807521367522,0.07920332218273579,0.0368922461492893,0.03055537831989459,0.019831855288650994,0.015086140485607786
CH,1,26.73266871794872,0.06887091350479002,0.03316961635763828,0.023742596040635045,0.016539900330826633,0.014413962754397054
CH,1,27.846529914529913,0.059031374789137635,0.029565954044397578,0.01791739246477652,0.013451627456845765,0.013834678196610932
CH,1,28.96039111111111,0.051498241619103484,0.026767688430845735,0.013876737057903984,0.011094984450998404,0.01338059510000878
CH,1,30.07425230769231,0.0430366570655352,0.024363723249198534,0.010456061100240981,0.008970301616817519,0.01310972709996769
CH,1,31.188113504273506,0.03559839766568098,0.02224705938058786,0.007500424268595775,0.007058060124643846,0.012833972940714951
CH,1,32.3019747008547,0.029643401509930934,0.020534923781728387,0.0052273579769166805,0.005618106953911161,0.012606119881503477
CH,1,33.4158358974359,0.025153243708877997,0.01913387004572612,0.003650796754608076,0.004473428450262126,0.012431429711003335
CH,1,34.529697094017095,0.021293976062383407,0.01797272650222493,0.0024788177837483383,0.003546382527814335,0.012287358268219816
CH,1,35.64355829059829,0.018260143928102445,0.01714359225434625,0.001680539921585283,0.002875776262555877,0.012189721515895719
CH,1,36.75741948717949,0.01613936057457557,0.016498989263215125,0.001163969164861975,0.002387125036703088,0.012125673098489642
CH,1,37.87128068376069,0.014858205308421297,0.01604252149406661,0.0008721883448649741,0.002058832140830464,0.012039852063529767
CH,1,38.98514188034188,0.01380731079679651,0.015651999899528476,0.0006403356912679192,0.001781143247782707,0.0119259237872962
CH,1,40.099003076923076,0.013111661584713519,0.015346143308740394,0.0005089369078259318,0.0015899269674450923,0.011826391030962651
CH,1,41.21286427350427,0.012670817793721064,0.015116944837455565,0.00043838916025666777,0.0014686534533468192,0.011749236576625296
CH,1,42.32672547008547,0.012443896902040539,0.014982331034719435,0.00040722513748865186,0.0014083513148272265,0.011682075583654592
CH,1,43.44058666666667,0.011931109614670277,0.014831430278718472,0.0003682293926734322,0.001319957640953362,0.011649801752840479
CH,15,0.0,0.042715637545500486,0.02690443110519222,0.020785336815086857,0.00990905995214624,0.018848711225603308
CH,15,2.020764835164835,0.04439554168354897,0.042566914805603435,0.034598297599000315,0.018391107483221144,0.02825420136962618
CH,15,4.04152967032967,0.046742612803047826,0.05777869802377709,0.04793437162154923,0.026217581934957414,0.03611884932733062
CH,15,6.0622945054945045,0.049994652558650286,0.06678210935238135,0.05715127272408579,0.031139097250690993,0.0434876085248786
CH,15,8.08305934065934,0.05334254803866039,0.06403823811458527,0.05841008894275124,0.03087267208922886,0.04972841592348649
CH,15,10.103824175824172,0.05581525217864539,0.09160719202292379,0.0855255544649594,0.045517816401049224,0.0667414032809791
CH,15,12.124589010989009,0.05840291166780415,0.1274920472527271,0.1205183801722232,0.06441679671099718,0.08597805197504196
CH,15,14.145353846153842,0.062026390580685584,0.13487593236041592,0.13298246210556983,0.07035564463380929,0.09257718788343906
CH,15,16.16611868131868,0.06618089101962991,0.11130109622446827,0.1204041987657547,0.06191236364412985,0.08369789410368864
CH,15,18.186883516483512,0.07070069837864938,0.09765361896255513,0.11475328728556632,0.05769269950278512,0.07840805306293808
CH,15,20.207648351648345,0.07553469990090135,0.10376084410336427,0.12294208992531883,0.06209776968773687,0.08101231523622306
CH,15,22.22841318681318,0.07980281368389235,0.10961670247025979,0.13043112500192044,0.06637301377870224,0.08309948410252076
CH,15,24.249178021978018,0.08370727202394508,0.1167913012943425,0.13822548590846115,0.07078517275442789,0.08495154800814586
CH,15,26.26994285714285,0.0878348671609447,0.1231727133549395,0.1445790364273957,0.07490166924184276,0.08599942904852685
CH,15,28.290707692307684,0.09182428160593624,0.12707449690926642,0.14647700640308114,0.07704045915559972,0.0856199260296184
CH,15,30.311472527472517,0.09512378234457183,0.12956384532562978,0.14722278992553336,0.07852308145099943,0.08516090723511936
CH,15,32.33223736263736,0.09691394565306304,0.12834446890886886,0.14215701583759252,0.07723082128516483,0.0824767765026171
