condition,day,z_um,S.oralis,A.naeslundii,Vd/Vp,F.nucleatum,P.gingivalis
DH,6,0.0,0.018216161988675594,0.04044576734304428,0.066583801060915,0.030828137882053852,0.09582382813096046
DH,6,1.1531538461538462,0.0185565586345127,0.04261372104669228,0.07104202636923546,0.03228824397023672,0.09900342090389667
DH,6,2.3063076923076924,0.018912958578230478,0.04495939220755528,0.07582456532579201,0.033878108916374355,0.10238249036364067
DH,6,3.4594615384615386,0.019348273949267775,0.04803239152981685,0.08204764557572512,0.036088673111337885,0.10669349964994651
DH,6,4.612615384615385,0.01986039059762007,0.05168911938865979,0.08930236282639015,0.03864762325508472,0.11147589991107965
DH,6,5.76576923076923,0.02047290120464869,0.05640838543574016,0.09831201046323165,0.04183133538716878,0.11710039631296426
DH,6,6.918923076923077,0.02116484474390745,0.0617104869049329,0.10837183806758661,0.045403606759814114,0.12275127407449943
DH,6,8.072076923076922,0.02192824178685745,0.06740952894473687,0.11944398618279359,0.049339331495456204,0.1284536040173127
DH,6,9.22523076923077,0.02298488021374513,0.07463812780303833,0.13222537734187567,0.05412350695293683,0.134255012545066
DH,6,10.378384615384615,0.02415069149663815,0.08279142070275086,0.14576167441331422,0.05934881734160276,0.140098753456886
DH,6,11.53153846153846,0.025621555005319607,0.09344318442237683,0.1619723870968207,0.06603565219885263,0.1464119601326111
DH,6,12.684692307692307,0.027330367037883174,0.10526330463397199,0.17946139016212562,0.07342338676636037,0.15269020486336488
DH,6,13.837846153846154,0.029568868259397838,0.12077526776836471,0.1997229949786113,0.08291404149853267,0.15893958795529145
DH,6,14.991,0.03202340689798196,0.13679568221171695,0.22077839324871698,0.09289281815290451,0.16473856568336487
DH,6,16.144153846153845,0.0348891763924024,0.15211636534868145,0.24174367330777338,0.10344004917603272,0.1690497656281178
DH,6,17.29730769230769,0.0383060544442672,0.1683166754933504,0.26397401782182545,0.11494487896561623,0.17263687344697803
DH,6,18.45046153846154,0.042017698144683466,0.1818283847891367,0.2853087750382912,0.12644305720161167,0.17491316069395113
DH,6,19.603615384615384,0.04679432769234364,0.19596373289823532,0.3079549307242418,0.1393268700593557,0.17576674754038835
DH,6,20.75676923076923,0.0524973002477334,0.20880129704108602,0.3315800703488863,0.15318285673856732,0.17525589064909863
DH,6,21.909923076923075,0.059383852359576106,0.22271113766309542,0.3562223533025155,0.16834165748113242,0.17366872403102043
DH,6,23.06307692307692,0.06714034219009754,0.23698160205131918,0.3815676478239206,0.18422607485300455,0.17104969154565763
DH,6,24.21623076923077,0.0758547353056761,0.2513584443009817,0.4067088583341012,0.20034164018355885,0.16769291919011337
DH,6,25.369384615384615,0.08560983129800895,0.2664070274585333,0.4319813859004241,0.21718335476441264,0.16404249117924616
DH,6,26.52253846153846,0.0967139999071757,0.2831896982896023,0.4591983270186645,0.23536931455899507,0.15987296631703007
DH,6,27.67569230769231,0.10939516929479748,0.3017803934904245,0.4862272911346876,0.2547117116359564,0.15515335076130354
DH,6,28.82884615384615,0.1230407152802516,0.32105970000609374,0.5122634267959839,0.2740560964896128,0.1502577427488107
DH,6,29.982,0.1354053368171056,0.3376418848832448,0.5297001699606578,0.2902068644762039,0.14563769102096558
DH,6,31.135153846153845,0.14323501346203,0.343754991889,0.5238397144354308,0.296585007928885,0.14096619761907137
DH,6,32.28830769230769,0.14519427372859073,0.33393500286799216,0.49429827240797186,0.2891902894927905,0.13466857316402286
DH,6,33.44146153846154,0.1397192609997896,0.30165693354912293,0.4326923126593613,0.2613586258047666,0.12463003626236548
DH,6,34.59461538461538,0.13207306598241514,0.25511541733374976,0.3582544326782228,0.22151821679793882,0.1100367129995273
DH,6,35.74776923076923,0.12026092066214637,0.20365102837483098,0.27873492699403046,0.17393478053884637,0.09360760837220232
DH,6,36.90092307692308,0.10888501629233363,0.15804480092647755,0.20958247284094503,0.13129568510712725,0.07805613547754596
DH,6,38.05407692307692,0.09864098578691483,0.12313270740784131,0.1591246873140335,0.09824262645382148,0.06427816058007571
DH,6,39.20723076923077,0.08872345194984704,0.09412042987652311,0.1176700343210727,0.07171349385036868,0.052438494701607094
DH,6,40.36038461538461,0.07982118437305477,0.07275630686527647,0.08717984615419158,0.05247997506879845,0.04318871289396135
DH,6,41.51353846153846,0.07221053970547824,0.05751010761238063,0.06597267019634065,0.03944395024042864,0.03595227225182149
DH,6,42.66669230769231,0.06540725170037687,0.04546189174438135,0.049250797822307325,0.02934275230822655,0.02972663807658813
DH,6,43.81984615384615,0.059968123642297894,0.0374196691868397,0.03841348441365438,0.02304580599929278,0.025036829643142532
DH,6,44.973,0.054787611588835716,0.030159967020154,0.02874586544930935,0.01747254468500614,0.02067185938358307
DH,10,0.0,0.018789016641676426,0.03774342034012079,0.05960545130074024,0.019220830872654915,0.07163684815168381
DH,10,1.4094102564102564,0.01910697592374606,0.039110878577981234,0.06293288513253897,0.020062494175269816,0.07360456282129654
DH,10,2.818820512820513,0.019389723403713643,0.040728992472092315,0.06681540350501354,0.021020509720517274,0.07594351045405254
DH,10,4.22823076923077,0.019792079280775327,0.043108369868535265,0.07202593638346745,0.022373008685043223,0.07914698138259924
DH,10,5.637641025641026,0.020237729001121644,0.04591014066663308,0.07795518101790012,0.02393866492769657,0.0829341147477046
DH,10,7.047051282051282,0.020878434097633146,0.0497775649269804,0.0854347502000821,0.02606658482303222,0.08754294327436349
DH,10,8.45646153846154,0.021542977111843914,0.053758429363369935,0.09317311701866296,0.028337472190077487,0.09224174057061856
