patient,rmse,bc,elapsed
A,0.13244508510153927,0.4180258972778269,71.75724768638611
B,0.07786993082700416,0.22160588774942214,17.161519765853882
C,0.07119149292361338,0.25222628707064326,16.634243488311768
D,0.05170541929745896,0.17061369758708642,17.016306161880493
E,0.04187870367513198,0.1297140516019468,16.636600494384766
F,0.04637414215851286,0.1493973478310252,17.036918878555298
G,0.0937631071365736,0.28585515576056597,16.63402032852173
H,0.0731987510043171,0.22044284014109047,16.823780298233032
K,0.10236413128947892,0.2632766536766659,17.12161421775818
L,0.13092386935669614,0.3391456247165199,16.7130343914032
MEAN,0.08217146327703265,0.24503034434127935,223.53528571128845
