cond,day,file,fov,z_idx,z_frac,S.o,A.n,Vd/Vp,F.n,P.g
CH,1,220518_HOBIC22_5Spezies_FISH_Tag1,0,0,0.0,0.2452879250049591,0.24796421825885773,0.21112564206123352,0.09102825075387955,0.20459403097629547
CH,1,220601_HOBIC22_5Spezies_FISH_Tag1,0,0,0.0,0.10018489509820938,0.32054004073143005,0.14130091667175293,0.18091313540935516,0.25706103444099426
CH,1,220720_HOBIC22_5Spezies_FISH_Tag1,0,0,0.0,0.07228463888168335,0.18563251197338104,0.28604036569595337,0.016450466588139534,0.43959203362464905
CH,1,220518_HOBIC22_5Spezies_FISH_Tag1,0,1,0.07142857142857142,0.15074697136878967,0.27595674991607666,0.23855850100517273,0.10761851817369461,0.22711920738220215
CH,1,220601_HOBIC22_5Spezies_FISH_Tag1,0,1,0.07142857142857142,0.021044502034783363,0.34274011850357056,0.27017781138420105,0.19235782325267792,0.17367973923683167
CH,1,220720_HOBIC22_5Spezies_FISH_Tag1,0,1,0.02702702702702703,0.07118023931980133,0.17781659960746765,0.3052198588848114,0.017103128135204315,0.4286802411079407
CH,1,220518_HOBIC22_5Spezies_FISH_Tag1,0,2,0.14285714285714285,0.020290667191147804,0.3610538840293884,0.18508578836917877,0.11758162081241608,0.3159879744052887
CH,1,220601_HOBIC22_5Spezies_FISH_Tag1,0,2,0.14285714285714285,0.14922504127025604,0.2710452675819397,0.20267321169376373,0.20199966430664062,0.1750568151473999
CH,1,220720_HOBIC22_5Spezies_FISH_Tag1,0,2,0.05405405405405406,0.058977074921131134,0.1770971566438675,0.33037859201431274,0.015508987940847874,0.41803818941116333
CH,1,220518_HOBIC22_5Spezies_FISH_Tag1,0,3,0.21428571428571427,0.020543158054351807,0.33437857031822205,0.2706301808357239,0.13163943588733673,0.24280869960784912
CH,1,220601_HOBIC22_5Spezies_FISH_Tag1,0,3,0.21428571428571427,0.2599983215332031,0.1846122443675995,0.21846860647201538,0.18304894864559174,0.15387184917926788
CH,1,220720_HOBIC22_5Spezies_FISH_Tag1,0,3,0.08108108108108109,0.05937867611646652,0.16522502899169922,0.3719235062599182,0.017851633951067924,0.38562124967575073
CH,1,220518_HOBIC22_5Spezies_FISH_Tag1,0,4,0.2857142857142857,0.09366515278816223,0.1964971125125885,0.44987770915031433,0.12598459422588348,0.13397541642189026
CH,1,220601_HOBIC22_5Spezies_FISH_Tag1,0,4,0.2857142857142857,0.2974775433540344,0.16509276628494263,0.22645899653434753,0.17404337227344513,0.1369273066520691
CH,1,220720_HOBIC22_5Spezies_FISH_Tag1,0,4,0.10810810810810811,0.05621181055903435,0.1621130108833313,0.4008423686027527,0.019767381250858307,0.36106541752815247
CH,1,220518_HOBIC22_5Spezies_FISH_Tag1,0,5,0.35714285714285715,0.19072435796260834,0.19581209123134613,0.3891063332557678,0.13735078275203705,0.08700650930404663
CH,1,220601_HOBIC22_5Spezies_FISH_Tag1,0,5,0.35714285714285715,0.3381362557411194,0.1525634378194809,0.2147655040025711,0.17220757901668549,0.12232719361782074
CH,1,220720_HOBIC22_5Spezies_FISH_Tag1,0,5,0.13513513513513514,0.06211492046713829,0.16142776608467102,0.413210928440094,0.025151001289486885,0.33809542655944824
CH,1,220518_HOBIC22_5Spezies_FISH_Tag1,0,6,0.42857142857142855,0.34861040115356445,0.18817298114299774,0.2738053798675537,0.14444856345653534,0.04496261849999428
CH,1,220601_HOBIC22_5Spezies_FISH_Tag1,0,6,0.42857142857142855,0.3635498285293579,0.15723145008087158,0.19228506088256836,0.18298210203647614,0.10395149886608124
CH,1,220720_HOBIC22_5Spezies_FISH_Tag1,0,6,0.16216216216216217,0.07743920385837555,0.1628875732421875,0.42164671421051025,0.03166418895125389,0.3063623607158661
CH,1,220518_HOBIC22_5Spezies_FISH_Tag1,0,7,0.5,0.4929645359516144,0.17762765288352966,0.16433313488960266,0.1337813436985016,0.0312933549284935
CH,1,220601_HOBIC22_5Spezies_FISH_Tag1,0,7,0.5,0.38156846165657043,0.15201523900032043,0.19073046743869781,0.18265904486179352,0.0930267795920372
CH,1,220720_HOBIC22_5Spezies_FISH_Tag1,0,7,0.1891891891891892,0.08726851642131805,0.15384086966514587,0.43652287125587463,0.03424869477748871,0.28811901807785034
CH,1,220518_HOBIC22_5Spezies_FISH_Tag1,0,8,0.5714285714285714,0.48269200325012207,0.20998196303844452,0.11539385467767715,0.14385268092155457,0.048079539090394974
