condition,t_day,species,phi
CH,1.0,S. oralis,0.7331932773109244
CH,1.0,A. naeslundii,0.059873949579831935
CH,1.0,V. dispar,0.10451680672268908
CH,1.0,F. nucleatum,0.09716386554621849
CH,1.0,P. gingivalis_20709,0.005252100840336135
CH,1.05,S. oralis,0.7400270615878377
CH,1.05,A. naeslundii,0.059862146383276554
CH,1.05,V. dispar,0.10547026362244184
CH,1.05,F. nucleatum,0.08983584925792058
CH,1.05,P. gingivalis_20709,0.004804679148523295
CH,1.1,S. oralis,0.7463602267307939
CH,1.1,A. naeslundii,0.05982218340078939
CH,1.1,V. dispar,0.10640742710892448
CH,1.1,F. nucleatum,0.08301703948567406
CH,1.1,P. gingivalis_20709,0.004393123273818163
CH,1.15,S. oralis,0.7522199041875522
CH,1.15,A. naeslundii,0.059756621486030496
CH,1.15,V. dispar,0.10732992017188528
CH,1.15,F. nucleatum,0.07667863692993314
CH,1.15,P. gingivalis_20709,0.004014917224598856
CH,1.2,S. oralis,0.7576327527124455
CH,1.2,A. naeslundii,0.05966787722661942
CH,1.2,V. dispar,0.10823927017094484
CH,1.2,F. nucleatum,0.07079243678198043
CH,1.2,P. gingivalis_20709,0.003667663108009918
CH,1.25,S. oralis,0.7626247774992103
CH,1.25,A. naeslundii,0.0595582228251388
CH,1.25,V. dispar,0.10913691158462016
CH,1.25,F. nucleatum,0.06533100259249583
CH,1.25,P. gingivalis_20709,0.0033490854985349715
CH,1.3,S. oralis,0.7672211835196026
CH,1.3,A. naeslundii,0.05942978685757528
CH,1.3,V. dispar,0.11002418876837869
CH,1.3,F. nucleatum,0.0602678065370368
CH,1.3,P. gingivalis_20709,0.003057034317406778
CH,1.35,S. oralis,0.7714462675723519
CH,1.35,A. naeslundii,0.059284557478305834
CH,1.35,V. dispar,0.11090235977987821
CH,1.35,F. nucleatum,0.05557733020891257
CH,1.35,P. gingivalis_20709,0.002789484960551602
CH,1.4,S. oralis,0.7753233375822447
CH,1.4,A. naeslundii,0.05912438635741923
CH,1.4,V. dispar,0.11177260024042111
CH,1.4,F. nucleatum,0.05123513860677625
CH,1.4,P. gingivalis_20709,0.00254453721313857
CH,1.45,S. oralis,0.7788746563865986
CH,1.45,A. naeslundii,0.05895099349736055
CH,1.45,V. dispar,0.11263600738932726
CH,1.45,F. nucleatum,0.047217929806574965
CH,1.45,P. gingivalis_20709,0.002320412920138497
CH,1.5,S. oralis,0.7821214113207264
CH,1.5,A. naeslundii,0.05876597319670426
CH,1.5,V. dispar,0.11349360452322102
CH,1.5,F. nucleatum,0.043503558775805445
CH,1.5,P. gingivalis_20709,0.0021154521835428904
CH,1.55,S. oralis,0.7850836946876605
CH,1.55,A. naeslundii,0.05857079966665508
CH,1.55,V. dispar,0.11434634498575304
CH,1.55,F. nucleatum,0.04007105110866233
CH,1.55,P. gingivalis_20709,0.0019281095512689232
CH,1.6,S. oralis,0.7877805067380433
CH,1.6,A. naeslundii,0.058366833773500736
CH,1.6,V. dispar,0.11519511660574056
CH,1.6,F. nucleatum,0.03690059404118543
CH,1.6,P. gingivalis_20709,0.0017569488415299474
CH,1.65,S. oralis,0.7902297647944526
CH,1.65,A. naeslundii,0.058155329275287625
CH,1.65,V. dispar,0.11604074566945101
CH,1.65,F. nucleatum,0.03397352206701296
CH,1.65,P. gingivalis_20709,0.0016006381937958545
CH,1.7000000000000002,S. oralis,0.7924483243997105
CH,1.7000000000000002,A. naeslundii,0.05793743934512419
CH,1.7000000000000002,V. dispar,0.11688400091676542
CH,1.7000000000000002,F. nucleatum,0.03127229070641235
CH,1.7000000000000002,P. gingivalis_20709,0.0014579446319875097
CH,1.75,S. oralis,0.7944520096540721
CH,1.75,A. naeslundii,0.05771422315040954
CH,1.75,V. dispar,0.11772559745412
CH,1.75,F. nucleatum,0.02878044136485123
CH,1.75,P. gingivalis_20709,0.0013277283765471212
CH,1.8,S. oralis,0.7962556439681607
CH,1.8,A. naeslundii,0.057486651822061925
CH,1.8,V. dispar,0.11856620022765928
CH,1.8,F. nucleatum,0.02648256637714142
CH,1.8,P. gingivalis_20709,0.001208937604976712
CH,1.85,S. oralis,0.7978730923128987
CH,1.85,A. naeslundii,0.057255614861109305
CH,1.85,V. dispar,0.1194064276737395
CH,1.85,F. nucleatum,0.024364262517241542
CH,1.85,P. gingivalis_20709,0.0011006026350109863
CH,1.9,S. oralis,0.7993172997882246
CH,1.9,A. naeslundii,0.057021925736802
CH,1.9,V. dispar,0.12024685485477875
CH,1.9,F. nucleatum,0.022412088821655088
CH,1.9,P. gingivalis_20709,0.0010018307985393917
CH,1.9500000000000002,S. oralis,0.8006003361631019
CH,1.9500000000000002,A. naeslundii,0.05678632757172235
CH,1.9500000000000002,V. dispar,0.12108801660357209
CH,1.9500000000000002,F. nucleatum,0.02061351853316297
CH,1.9500000000000002,P. gingivalis_20709,0.0009118011284408748
CH,2.0,S. oralis,0.8017334408478426
CH,2.0,A. naeslundii,0.056549498485119684
CH,2.0,V. dispar,0.12193041044636722
CH,2.0,F. nucleatum,0.018956890920955177
CH,2.0,P. gingivalis_20709,0.0008297592997151918
CH,2.05,S. oralis,0.8027270653808499
CH,2.05,A. naeslundii,0.05631205643881539
CH,2.05,V. dispar,0.12277449922176834
CH,2.05,F. nucleatum,0.017431365951401507
CH,2.05,P. gingivalis_20709,0.0007550130071649333
CH,2.1,S. oralis,0.803590920691098
CH,2.1,A. naeslundii,0.05607456416888972
CH,2.1,V. dispar,0.12362071374175314
CH,2.1,F. nucleatum,0.016026874212048417
CH,2.1,P. gingivalis_20709,0.0006869271862105386
CH,2.1500000000000004,S. oralis,0.8043340181347892
CH,2.1500000000000004,A. naeslundii,0.05583753341420647
CH,2.1500000000000004,V. dispar,0.1244694550440998
CH,2.1500000000000004,F. nucleatum,0.014734073502659175
CH,2.1500000000000004,P. gingivalis_20709,0.0006249199042453273
CH,2.2,S. oralis,0.8049647137943746
CH,2.2,A. naeslundii,0.055601429178751174
CH,2.2,V. dispar,0.12532109666824842
CH,2.2,F. nucleatum,0.013544302190351597
CH,2.2,P. gingivalis_20709,0.0005684581682740122
CH,2.25,S. oralis,0.8054907492843612
CH,2.25,A. naeslundii,0.05536667355512428
CH,2.25,V. dispar,0.12617598668479826
CH,2.25,F. nucleatum,0.012449536330128156
CH,2.25,P. gingivalis_20709,0.0005170541455883171
CH,2.3,S. oralis,0.8059192907336729
CH,2.3,A. naeslundii,0.055133649265587496
CH,2.3,V. dispar,0.12703444956903615
CH,2.3,F. nucleatum,0.011442348786205422
CH,2.3,P. gingivalis_20709,0.00047026164549810064
CH,2.35,S. oralis,0.8062569683687102
CH,2.35,A. naeslundii,0.05490270309748567
CH,2.35,V. dispar,0.1278967880297217
CH,2.35,F. nucleatum,0.010515867826982451
CH,2.35,P. gingivalis_20709,0.00042767267710000257
CH,2.4000000000000004,S. oralis,0.806509910846942
CH,2.4000000000000004,A. naeslundii,0.0546741488627241
CH,2.4000000000000004,V. dispar,0.12876328456810593
CH,2.4000000000000004,F. nucleatum,0.009663741238738519
CH,2.4000000000000004,P. gingivalis_20709,0.00038891448348952226
CH,2.45,S. oralis,0.8066837813143786
CH,2.45,A. naeslundii,0.0544482703595485
CH,2.45,V. dispar,0.12963420305909099
CH,2.45,F. nucleatum,0.008880098719946895
CH,2.45,P. gingivalis_20709,0.00035364654703508395
CH,2.5,S. oralis,0.806783809062272
CH,2.5,A. naeslundii,0.05422532394819306
CH,2.5,V. dispar,0.13050979011680108
CH,2.5,F. nucleatum,0.00815951888887557
CH,2.5,P. gingivalis_20709,0.00032155798385832444
CH,2.55,S. oralis,0.8068148203574839
CH,2.55,A. naeslundii,0.054005540988743474
CH,2.55,V. dispar,0.13139027639513828
CH,2.55,F. nucleatum,0.007496997191992114
CH,2.55,P. gingivalis_20709,0.0002923650666422924
CH,2.6,S. oralis,0.8067812680422572
CH,2.6,A. naeslundii,0.05378913011987449
CH,2.6,V. dispar,0.1322758778129028
CH,2.6,F. nucleatum,0.006887915126312788
CH,2.6,P. gingivalis_20709,0.0002658088986525999
CH,2.6500000000000004,S. oralis,0.8066872574765949
CH,2.6500000000000004,A. naeslundii,0.053576279245905974
CH,2.6500000000000004,V. dispar,0.1331667966129504
CH,2.6500000000000004,F. nucleatum,0.0063280132756747855
CH,2.6500000000000004,P. gingivalis_20709,0.00024165338887389905
CH,2.7,S. oralis,0.8065365732705659
CH,2.7,A. naeslundii,0.05336715750600234
CH,2.7,V. dispar,0.13406322243477387
CH,2.7,F. nucleatum,0.005813363559494424
CH,2.7,P. gingivalis_20709,0.0002196832291633248
CH,2.75,S. oralis,0.8063327021527337
CH,2.75,A. naeslundii,0.05316191695801451
CH,2.75,V. dispar,0.13496533322117746
CH,2.75,F. nucleatum,0.0053403454976680255
CH,2.75,P. gingivalis_20709,0.00019970217040621527
CH,2.8,S. oralis,0.8060788555627332
CH,2.8,A. naeslundii,0.05296069419574036
CH,2.8,V. dispar,0.13587329610265622
CH,2.8,F. nucleatum,0.004905622780466835
CH,2.8,P. gingivalis_20709,0.00018153135840327886
CH,2.85,S. oralis,0.805777990573114
CH,2.85,A. naeslundii,0.05276361182211487
CH,2.85,V. dispar,0.13678726820758647
CH,2.85,F. nucleatum,0.004506121581626466
CH,2.85,P. gingivalis_20709,0.000165007815558196
CH,2.9000000000000004,S. oralis,0.8054328285015477
CH,2.9000000000000004,A. naeslundii,0.052570779753538015
CH,2.9000000000000004,V. dispar,0.13770739737453222
CH,2.9000000000000004,F. nucleatum,0.00413901126965135
CH,2.9000000000000004,P. gingivalis_20709,0.00014998310073058012
CH,2.95,S. oralis,0.8050458737002654
CH,2.95,A. naeslundii,0.05238229649271115
CH,2.95,V. dispar,0.13863382286659579
CH,2.95,F. nucleatum,0.0038016849500158846
CH,2.95,P. gingivalis_20709,0.00013632199041172947
CH,3.0,S. oralis,0.8046194294526323
CH,3.0,A. naeslundii,0.0521982502123803
CH,3.0,V. dispar,0.13956667596782882
CH,3.0,F. nucleatum,0.003491743002359727
CH,3.0,P. gingivalis_20709,0.0001239013647987051
CH,3.0500000000000003,S. oralis,0.8041556138987405
CH,3.0500000000000003,A. naeslundii,0.05201871980765562
CH,3.0500000000000003,V. dispar,0.14050608057810687
CH,3.0500000000000003,F. nucleatum,0.003206976597990313
CH,3.0500000000000003,P. gingivalis_20709,0.00011260911750682864
CH,3.1,S. oralis,0.8036563742639942
CH,3.1,A. naeslundii,0.051843775830526344
CH,3.1,V. dispar,0.14145215373928566
CH,3.1,F. nucleatum,0.0029453529758856926
CH,3.1,P. gingivalis_20709,0.000102343190308119
CH,3.15,S. oralis,0.8031234999073547
CH,3.15,A. naeslundii,0.05167348133909464
CH,3.15,V. dispar,0.14240500611299842
CH,3.15,F. nucleatum,0.0027050019427745397
CH,3.15,P. gingivalis_20709,9.301069777783469e-05
CH,3.2,S. oralis,0.8025586350557051
CH,3.2,A. naeslundii,0.05150789270377164
CH,3.2,V. dispar,0.14336474244625586
CH,3.2,F. nucleatum,0.002484202704445265
CH,3.2,P. gingivalis_20709,8.452708982212757e-05
CH,3.25,S. oralis,0.8019632896536106
CH,3.25,A. naeslundii,0.051347060301846686
CH,3.25,V. dispar,0.14433146196083357
CH,3.25,F. nucleatum,0.0022813726441199863
CH,3.25,P. gingivalis_20709,7.681543958915483e-05
CH,3.3000000000000003,S. oralis,0.8013388503031317
CH,3.3000000000000003,A. naeslundii,0.05119102919259739
CH,3.3000000000000003,V. dispar,0.14530525874752487
CH,3.3000000000000003,F. nucleatum,0.002095056014819875
CH,3.3000000000000003,P. gingivalis_20709,6.98057419261837e-05
CH,3.35,S. oralis,0.800686589745775
CH,3.35,A. naeslundii,0.05103983970642984
CH,3.35,V. dispar,0.14628622210179423
CH,3.35,F. nucleatum,0.001923914137770363
CH,3.35,P. gingivalis_20709,6.343430823054165e-05
CH,3.4000000000000004,S. oralis,0.8000076758483436
CH,3.4000000000000004,A. naeslundii,0.05089352799336308
CH,3.4000000000000004,V. dispar,0.14727443684017724
CH,3.4000000000000004,F. nucleatum,0.0017667161166932605
CH,3.4000000000000004,P. gingivalis_20709,5.7643201422739575e-05
CH,3.45,S. oralis,0.7993031800649042
CH,3.45,A. naeslundii,0.05075212652964687
CH,3.45,V. dispar,0.14826998359720703
CH,3.45,F. nucleatum,0.0016223300964857358
CH,3.45,P. gingivalis_20709,5.2379711756214176e-05
CH,3.5,S. oralis,0.7985740847452396
CH,3.5,A. naeslundii,0.05061566456245307
CH,3.5,V. dispar,0.1492729390745633
CH,3.5,F. nucleatum,0.001489715712203309
CH,3.5,P. gingivalis_20709,4.7595905540762696e-05
CH,3.5500000000000003,S. oralis,0.7978212906127247
CH,3.5500000000000003,A. naeslundii,0.05048416854180549
CH,3.5500000000000003,V. dispar,0.15028337630103475
CH,3.5500000000000003,F. nucleatum,0.0013679163696963214
CH,3.5500000000000003,P. gingivalis_20709,4.3248174738798866e-05
CH,3.6,S. oralis,0.7970456228391358
CH,3.6,A. naeslundii,0.0503576624875462
CH,3.6,V. dispar,0.15130136483237192
CH,3.6,F. nucleatum,0.001256052971324247
CH,3.6,P. gingivalis_20709,3.9296869621807444e-05
CH,3.6500000000000004,S. oralis,0.7962478372879558
CH,3.6500000000000004,A. naeslundii,0.05023616834592259
CH,3.6500000000000004,V. dispar,0.15232697096193584
CH,3.6500000000000004,F. nucleatum,0.0011533174737772141
CH,3.6500000000000004,P. gingivalis_20709,3.57059304086305e-05
CH,3.7,S. oralis,0.7954286260919989
CH,3.7,A. naeslundii,0.0501197063084129
CH,3.7,V. dispar,0.1533602579045323
CH,3.7,F. nucleatum,0.0010589671338893467
CH,3.7,P. gingivalis_20709,3.244256116646982e-05
CH,3.75,S. oralis,0.7945886225284265
CH,3.75,A. naeslundii,0.0500082950969741
CH,3.75,V. dispar,0.1544012859495395
CH,3.75,F. nucleatum,0.0009723194790247399
CH,3.75,P. gingivalis_20709,2.9476946035112563e-05
CH,3.8000000000000003,S. oralis,0.793728405815456
CH,3.8000000000000003,A. naeslundii,0.0499019522332256
