condition,t_day,species,phi
CS,1.0,S. oralis,0.17930029154518953
CS,1.0,A. naeslundii,0.004859086491739554
CS,1.0,V. dispar,0.8066083576287658
CS,1.0,F. nucleatum,0.004859086491739554
CS,1.0,P. gingivalis_20709,0.004373177842565599
CS,1.05,S. oralis,0.19786788625972357
CS,1.05,A. naeslundii,0.005073159153462919
CS,1.05,V. dispar,0.7875670356335656
CS,1.05,F. nucleatum,0.004992800896909327
CS,1.05,P. gingivalis_20709,0.004499118056338467
CS,1.1,S. oralis,0.21718788084186294
CS,1.1,A. naeslundii,0.005281179305366341
CS,1.1,V. dispar,0.7678016417714446
CS,1.1,F. nucleatum,0.0051146788285244
CS,1.1,P. gingivalis_20709,0.004614619252801804
CS,1.15,S. oralis,0.2371100778405134
CS,1.15,A. naeslundii,0.005481962273082859
CS,1.15,V. dispar,0.7474650610098185
CS,1.15,F. nucleatum,0.005223954983537058
CS,1.15,P. gingivalis_20709,0.004718943893048299
CS,1.2,S. oralis,0.2574727492654918
CS,1.2,A. naeslundii,0.005674581074602474
CS,1.2,V. dispar,0.7267208586887645
CS,1.2,F. nucleatum,0.0053201762820616234
CS,1.2,P. gingivalis_20709,0.004811634689079718
CS,1.25,S. oralis,0.2781091605701589
CS,1.25,A. naeslundii,0.005858389750639703
CS,1.25,V. dispar,0.7057367292122487
CS,1.25,F. nucleatum,0.005403202963035137
CS,1.25,P. gingivalis_20709,0.004892517503917703
CS,1.3,S. oralis,0.29885401299257225
CS,1.3,A. naeslundii,0.006033028431007189
CS,1.3,V. dispar,0.6846780798180673
CS,1.3,F. nucleatum,0.0054731912798921065
CS,1.3,P. gingivalis_20709,0.004961687478461333
CS,1.35,S. oralis,0.3195492918752296
CS,1.35,A. naeslundii,0.006198411396666398
CS,1.35,V. dispar,0.6637022549337656
CS,1.35,F. nucleatum,0.005530560810984105
CS,1.35,P. gingivalis_20709,0.0050194809833543534
CS,1.4,S. oralis,0.3400491113259026
CS,1.4,A. naeslundii,0.006354701089331495
CS,1.4,V. dispar,0.6429537995417005
CS,1.4,F. nucleatum,0.005575950770573968
CS,1.4,P. gingivalis_20709,0.0050664372724915085
CS,1.45,S. oralis,0.3602233092365098
CS,1.45,A. naeslundii,0.006502272219779155
CS,1.45,V. dispar,0.6225609937905859
CS,1.45,F. nucleatum,0.00561017037901182
CS,1.45,P. gingivalis_20709,0.005103254374113242
CS,1.5,S. oralis,0.37995973207550704
CS,1.5,A. naeslundii,0.006641670481260638
CS,1.5,V. dispar,0.6026337057725648
CS,1.5,F. nucleatum,0.005634148095266354
CS,1.5,P. gingivalis_20709,0.005130743575401176
CS,1.55,S. oralis,0.39916527641156213
CS,1.55,A. naeslundii,0.0067735697712977775
CS,1.55,V. dispar,0.5832624844018409
CS,1.55,F. nucleatum,0.005648883472013248
CS,1.55,P. gingivalis_20709,0.005149785943286003
CS,1.6,S. oralis,0.41776583943229095
CS,1.6,A. naeslundii,0.006898731174503599
CS,1.6,V. dispar,0.5645187314459907
CS,1.6,F. nucleatum,0.005655404454393161
CS,1.6,P. gingivalis_20709,0.005161293492821512
CS,1.65,S. oralis,0.43570543386945515
CS,1.65,A. naeslundii,0.007017966194647455
CS,1.65,V. dispar,0.5464556914753963
CS,1.65,F. nucleatum,0.005654731830873754
CS,1.65,P. gingivalis_20709,0.005166176629627302
CS,1.7000000000000002,S. oralis,0.45294470269916337
CS,1.7000000000000002,A. naeslundii,0.0071321054877611185
CS,1.7000000000000002,V. dispar,0.5291100220733919
CS,1.7000000000000002,F. nucleatum,0.00564785134462601
CS,1.7000000000000002,P. gingivalis_20709,0.005165318395057522
CS,1.75,S. oralis,0.46945904766094254
CS,1.75,A. naeslundii,0.0072419736818754715
CS,1.75,V. dispar,0.5125037298017162
CS,1.75,F. nucleatum,0.005635693369356313
CS,1.75,P. gingivalis_20709,0.005159555486109423
CS,1.8,S. oralis,0.48523658969135874
CS,1.8,A. naeslundii,0.007348370229655731
CS,1.8,V. dispar,0.4966462552787999
CS,1.8,F. nucleatum,0.005619119385432591
CS,1.8,P. gingivalis_20709,0.00514966541475305
CS,1.85,S. oralis,0.5002761129967664
CS,1.85,A. naeslundii,0.007452055708174398
CS,1.85,V. dispar,0.4815365582819425
CS,1.85,F. nucleatum,0.00559891416122244
CS,1.85,P. gingivalis_20709,0.005136358851894207
CS,1.9,S. oralis,0.5145850869615578
CS,1.9,A. naeslundii,0.007553742899699383
CS,1.9,V. dispar,0.4671651111974914
CS,1.9,F. nucleatum,0.005575782655347025
CS,1.9,P. gingivalis_20709,0.005120276285904595
CS,1.9500000000000002,S. oralis,0.5281778552819386
CS,1.9500000000000002,A. naeslundii,0.00765409176755455
CS,1.9500000000000002,V. dispar,0.4535157145865848
CS,1.9500000000000002,F. nucleatum,0.005550350437716239
CS,1.9500000000000002,P. gingivalis_20709,0.0051019879262058105
CS,2.0,S. oralis,0.5410740330899911
CS,2.0,A. naeslundii,0.007753707387674611
CS,2.0,V. dispar,0.4405670971393356
CS,2.0,F. nucleatum,0.005523166524847887
CS,2.0,P. gingivalis_20709,0.005081995858150667
CS,2.05,S. oralis,0.5532971073066913
CS,2.05,A. naeslundii,0.007853140363290604
CS,2.05,V. dispar,0.4282943061249355
CS,2.05,F. nucleatum,0.005494708173038968
CS,2.05,P. gingivalis_20709,0.0050607380320436225
CS,2.1,S. oralis,0.5648732695657169
CS,2.1,A. naeslundii,0.007952888659818719
CS,2.1,V. dispar,0.41666986237005654
CS,2.1,F. nucleatum,0.0054653864146372
CS,2.1,P. gingivalis_20709,0.005038592989770654
CS,2.1500000000000004,S. oralis,0.5758304429234282
CS,2.1500000000000004,A. naeslundii,0.008053400667395778
CS,2.1500000000000004,V. dispar,0.4056647188647595
CS,2.1500000000000004,F. nucleatum,0.005435552279297165
CS,2.1500000000000004,P. gingivalis_20709,0.005015885265119376
CS,2.2,S. oralis,0.5861974967527122
CS,2.2,A. naeslundii,0.008155078810853526
CS,2.2,V. dispar,0.39524903061961697
CS,2.2,F. nucleatum,0.005405502998454178
CS,2.2,P. gingivalis_20709,0.0049928908183630195
CS,2.25,S. oralis,0.596003622398807
CS,2.25,A. naeslundii,0.008258283722025654
CS,2.25,V. dispar,0.38539276295266717
CS,2.25,F. nucleatum,0.005375488316822526
CS,2.25,P. gingivalis_20709,0.0049698426096777635
CS,2.3,S. oralis,0.6052778480685965
CS,2.3,A. naeslundii,0.008363338137387
CS,2.3,V. dispar,0.37606616219309547
CS,2.3,F. nucleatum,0.005345716064029764
CS,2.3,P. gingivalis_20709,0.00494693553689109
CS,2.35,S. oralis,0.6140486709282634
CS,2.35,A. naeslundii,0.008470531098430274
CS,2.35,V. dispar,0.36724010887237435
CS,2.35,F. nucleatum,0.0053163577115552104
CS,2.35,P. gingivalis_20709,0.00492433138937658
CS,2.4000000000000004,S. oralis,0.6223437875352986
CS,2.4000000000000004,A. naeslundii,0.008580121808441149
CS,2.4000000000000004,V. dispar,0.35888637417676955
CS,2.4000000000000004,F. nucleatum,0.005287553260331618
CS,2.4000000000000004,P. gingivalis_20709,0.004902163219159207
CS,2.45,S. oralis,0.6301898958472816
CS,2.45,A. naeslundii,0.008692343130032136
CS,2.45,V. dispar,0.3509778063202774
CS,2.45,F. nucleatum,0.005259415522465929
CS,2.45,P. gingivalis_20709,0.004880539179943229
CS,2.5,S. oralis,0.63761257079848
CS,2.5,A. naeslundii,0.008807405048155772
CS,2.5,V. dispar,0.3434884438113745
CS,2.5,F. nucleatum,0.005232034169730629
CS,2.5,P. gingivalis_20709,0.004859546172259111
CS,2.55,S. oralis,0.6446361824161536
