condition,t_day,species,phi
DH,1.0,S. oralis,0.0305
DH,1.0,A. naeslundii,0.01
DH,1.0,V. parvula,0.9490000000000001
DH,1.0,F. nucleatum,0.005
DH,1.0,P. gingivalis_W83,0.0055000000000000005
DH,1.05,S. oralis,0.03111549654057835
DH,1.05,A. naeslundii,0.010403835657488633
DH,1.05,V. parvula,0.9476794830946785
DH,1.05,F. nucleatum,0.005181765211486046
DH,1.05,P. gingivalis_W83,0.005619419495768301
DH,1.1,S. oralis,0.03174134592733499
DH,1.1,A. naeslundii,0.010822735292396867
DH,1.1,V. parvula,0.9463251907887207
DH,1.1,F. nucleatum,0.005369671644162455
DH,1.1,P. gingivalis_W83,0.005741056347384906
DH,1.15,S. oralis,0.032377610397434496
DH,1.15,A. naeslundii,0.011257173497577747
DH,1.15,V. parvula,0.9449363886665356
DH,1.15,F. nucleatum,0.005563895216343725
DH,1.15,P. gingivalis_W83,0.005864932222108323
DH,1.2,S. oralis,0.033024346179369085
DH,1.2,A. naeslundii,0.011707633463143345
DH,1.2,V. parvula,0.9435123377160858
DH,1.2,F. nucleatum,0.0057646146810991575
DH,1.2,P. gingivalis_W83,0.005991067960302698
DH,1.25,S. oralis,0.03368160297402379
DH,1.25,A. naeslundii,0.01217460692901021
DH,1.25,V. parvula,0.9420522949997127
DH,1.25,F. nucleatum,0.005972011603438689
DH,1.25,P. gingivalis_W83,0.006119483493814566
DH,1.3,S. oralis,0.034349423333189466
DH,1.3,A. naeslundii,0.012658594054831463
DH,1.3,V. parvula,0.9405555145543365
DH,1.3,F. nucleatum,0.006186270309897757
DH,1.3,P. gingivalis_W83,0.00625019774774493
DH,1.35,S. oralis,0.03502784263024661
DH,1.35,A. naeslundii,0.013160102626457405
DH,1.35,V. parvula,0.939021248494994
DH,1.35,F. nucleatum,0.006407577621911785
DH,1.35,P. gingivalis_W83,0.006383228626390132
DH,1.4,S. oralis,0.035716888588163034
DH,1.4,A. naeslundii,0.013679647786825016
DH,1.4,V. parvula,0.9374487479257938
DH,1.4,F. nucleatum,0.0066361227620639895
DH,1.4,P. gingivalis_W83,0.0065185929371540646
DH,1.45,S. oralis,0.03641658042745587
DH,1.45,A. naeslundii,0.014217751883131418
DH,1.45,V. parvula,0.9358372641338679
DH,1.45,F. nucleatum,0.006872097297987439
DH,1.45,P. gingivalis_W83,0.006656306257557344
DH,1.5,S. oralis,0.03712692892749105
DH,1.5,A. naeslundii,0.014774943544250442
DH,1.5,V. parvula,0.9341860497563161
DH,1.5,F. nucleatum,0.0071156948371182745
DH,1.5,P. gingivalis_W83,0.00679638293482403
DH,1.55,S. oralis,0.03784793602906815
DH,1.55,A. naeslundii,0.015351757197726183
DH,1.55,V. parvula,0.9324943598875938
DH,1.55,F. nucleatum,0.00736711086567525
DH,1.55,P. gingivalis_W83,0.006938836019936625
DH,1.6,S. oralis,0.038579593806357095
DH,1.6,A. naeslundii,0.01594873274875801
DH,1.6,V. parvula,0.9307614536974674
DH,1.6,F. nucleatum,0.0076265426403270675
DH,1.6,P. gingivalis_W83,0.007083677107090379
DH,1.65,S. oralis,0.03932188455041612
DH,1.65,A. naeslundii,0.01656641460657786
DH,1.65,V. parvula,0.9289865956353108
DH,1.65,F. nucleatum,0.007894188870315238
DH,1.65,P. gingivalis_W83,0.007230916337379923
DH,1.7000000000000002,S. oralis,0.04007478047801836
DH,1.7000000000000002,A. naeslundii,0.017205351004172777
DH,1.7000000000000002,V. parvula,0.927169056673916
DH,1.7000000000000002,F. nucleatum,0.008170249495633474
DH,1.7000000000000002,P. gingivalis_W83,0.007380562348259391
DH,1.75,S. oralis,0.04083824260179658
DH,1.75,A. naeslundii,0.017866093407929322
DH,1.75,V. parvula,0.9253081163990298
DH,1.75,F. nucleatum,0.008454925494999876
DH,1.75,P. gingivalis_W83,0.007532622096244449
DH,1.8,S. oralis,0.04161222077214925
DH,1.8,A. naeslundii,0.018549195510718028
DH,1.8,V. parvula,0.9234030643004661
DH,1.8,F. nucleatum,0.008748418561441845
DH,1.8,P. gingivalis_W83,0.007687100855224685
DH,1.85,S. oralis,0.04239665350770138
DH,1.85,A. naeslundii,0.019255212390971704
DH,1.85,V. parvula,0.9214532010846894
DH,1.85,F. nucleatum,0.009050930832413201
DH,1.85,P. gingivalis_W83,0.00784400218422428
DH,1.9,S. oralis,0.043191466850041126
DH,1.9,A. naeslundii,0.019984699603409685
DH,1.9,V. parvula,0.9194578412004856
DH,1.9,F. nucleatum,0.009362664599552024
DH,1.9,P. gingivalis_W83,0.008003327746511631
DH,1.9500000000000002,S. oralis,0.043996574323600046
DH,1.9500000000000002,A. naeslundii,0.020738212109429305
DH,1.9500000000000002,V. parvula,0.9174163143020939
DH,1.9500000000000002,F. nucleatum,0.009683821968624674
DH,1.9500000000000002,P. gingivalis_W83,0.008165077296251927
DH,2.0,S. oralis,0.044811876867787724
DH,2.0,A. naeslundii,0.021516303313425248
DH,2.0,V. parvula,0.9153279666023265
DH,2.0,F. nucleatum,0.010014604554446836
DH,2.0,P. gingivalis_W83,0.008329248662013723
DH,2.05,S. oralis,0.045637261809223506
DH,2.05,A. naeslundii,0.02231952385215049
DH,2.05,V. parvula,0.9131921636563676
DH,2.05,F. nucleatum,0.010355213099265332
DH,2.05,P. gingivalis_W83,0.008495837582992907
DH,2.1,S. oralis,0.04647260265434224
DH,2.1,A. naeslundii,0.02314842038605678
DH,2.1,V. parvula,0.9110082921957376
DH,2.1,F. nucleatum,0.010705847093229462
DH,2.1,P. gingivalis_W83,0.008664837670633916
DH,2.1500000000000004,S. oralis,0.047317759123531346
DH,2.1500000000000004,A. naeslundii,0.024003534535571625
DH,2.1500000000000004,V. parvula,0.908775761490749
DH,2.1500000000000004,F. nucleatum,0.011066704441900298
DH,2.1500000000000004,P. gingivalis_W83,0.008836240408247698
DH,2.2,S. oralis,0.04817257648047855
DH,2.2,A. naeslundii,0.024885401536663698
DH,2.2,V. parvula,0.9064940058939682
DH,2.2,F. nucleatum,0.01143798104682682
DH,2.2,P. gingivalis_W83,0.009010035042062674
DH,2.25,S. oralis,0.04903688482341686
DH,2.25,A. naeslundii,0.025794548610174252
DH,2.25,V. parvula,0.9041624878025057
DH,2.25,F. nucleatum,0.011819870298374176
DH,2.25,P. gingivalis_W83,0.009186208465528995
DH,2.3,S. oralis,0.04991049954191847
DH,2.3,A. naeslundii,0.02673149401295088
DH,2.3,V. parvula,0.9017806983766056
DH,2.3,F. nucleatum,0.012212562783383367
DH,2.3,P. gingivalis_W83,0.009364745285141647
DH,2.35,S. oralis,0.0507932208434909
DH,2.35,A. naeslundii,0.027696745600883588
DH,2.35,V. parvula,0.8993481599722519
DH,2.35,F. nucleatum,0.012616245841101863
DH,2.35,P. gingivalis_W83,0.009545627742271714
DH,2.4000000000000004,S. oralis,0.051684832755111654
DH,2.4000000000000004,A. naeslundii,0.028690798680650387
DH,2.4000000000000004,V. parvula,0.8968644301122225
DH,2.4000000000000004,F. nucleatum,0.01303110289975957
DH,2.4000000000000004,P. gingivalis_W83,0.009728835552255694
DH,2.45,S. oralis,0.05258510383197967
DH,2.45,A. naeslundii,0.02971413522091238
DH,2.45,V. parvula,0.8943291016987187
DH,2.45,F. nucleatum,0.0134573132378672
DH,2.45,P. gingivalis_W83,0.00991434601052202
DH,2.5,S. oralis,0.05349378694549489
DH,2.5,A. naeslundii,0.030767222428983866
DH,2.5,V. parvula,0.8917418051214566
DH,2.5,F. nucleatum,0.013895051548555424
DH,2.5,P. gingivalis_W83,0.010102133955509183
DH,2.55,S. oralis,0.0544106181722382
DH,2.55,A. naeslundii,0.031850510096236725
DH,2.55,V. parvula,0.8891022130170801
DH,2.55,F. nucleatum,0.014344487124517087
DH,2.55,P. gingivalis_W83,0.010292171589927884
DH,2.6,S. oralis,0.055335317603559996
DH,2.6,A. naeslundii,0.03296442991776978
DH,2.6,V. parvula,0.8864100402188638
DH,2.6,F. nucleatum,0.014805783656062672
DH,2.6,P. gingivalis_W83,0.010484428603743707
DH,2.6500000000000004,S. oralis,0.05626758942879141
DH,2.6500000000000004,A. naeslundii,0.034109394204318036
DH,2.6500000000000004,V. parvula,0.8836650453420068
DH,2.6500000000000004,F. nucleatum,0.015279098841095509
DH,2.6500000000000004,P. gingivalis_W83,0.010678872183788119
DH,2.7,S. oralis,0.057207120862249036
DH,2.7,A. naeslundii,0.035285792803712177
DH,2.7,V. parvula,0.8808670360487355
DH,2.7,F. nucleatum,0.015764583444559426
DH,2.7,P. gingivalis_W83,0.010875466840743838
DH,2.75,S. oralis,0.05815358312726647
DH,2.75,A. naeslundii,0.03649399271416605
DH,2.75,V. parvula,0.8780158684086405
DH,2.75,F. nucleatum,0.016262381189281007
DH,2.75,P. gingivalis_W83,0.011074174560645925
DH,2.8,S. oralis,0.05910663120990483
DH,2.8,A. naeslundii,0.037734336013186924
DH,2.8,V. parvula,0.8751114498859264
DH,2.8,F. nucleatum,0.016772628128453464
DH,2.8,P. gingivalis_W83,0.011274954762528403
DH,2.85,S. oralis,0.06006590409275859
DH,2.85,A. naeslundii,0.03900713842222693
DH,2.85,V. parvula,0.872153740938422
DH,2.85,F. nucleatum,0.01729545221460865
DH,2.85,P. gingivalis_W83,0.011477764331983803
DH,2.9000000000000004,S. oralis,0.06103102467244895
DH,2.9000000000000004,A. naeslundii,0.04031268718917931
DH,2.9000000000000004,V. parvula,0.8691427578734104
DH,2.9000000000000004,F. nucleatum,0.01783097266040916
DH,2.9000000000000004,P. gingivalis_W83,0.011682557604552127
DH,2.95,S. oralis,0.06200160020331048
DH,2.95,A. naeslundii,0.04165123983430119
DH,2.95,V. parvula,0.8660785739648692
DH,2.95,F. nucleatum,0.018379299564918045
DH,2.95,P. gingivalis_W83,0.011889286432601122
DH,3.0,S. oralis,0.06297722256757775
DH,3.0,A. naeslundii,0.04302302254359043
DH,3.0,V. parvula,0.8629613212317571
DH,3.0,F. nucleatum,0.018940533432303855
DH,3.0,P. gingivalis_W83,0.012097900224770914
DH,3.0500000000000003,S. oralis,0.06395746868546617
DH,3.0500000000000003,A. naeslundii,0.04442822879927357
DH,3.0500000000000003,V. parvula,0.859791191744193
DH,3.0500000000000003,F. nucleatum,0.019514764763361774
DH,3.0500000000000003,P. gingivalis_W83,0.012308346007705428
DH,3.1,S. oralis,0.06494190088365627
DH,3.1,A. naeslundii,0.045867017874913096
DH,3.1,V. parvula,0.8565684391545078
DH,3.1,F. nucleatum,0.020102073605737292
DH,3.1,P. gingivalis_W83,0.012520568481185435
DH,3.15,S. oralis,0.06593006714969711
DH,3.15,A. naeslundii,0.047339512808646095
DH,3.15,V. parvula,0.8532933810413704
DH,3.15,F. nucleatum,0.020702528945528355
DH,3.15,P. gingivalis_W83,0.012734510054757986
DH,3.2,S. oralis,0.06692150192824463
DH,3.2,A. naeslundii,0.0488457997634186
DH,3.2,V. parvula,0.8499663988158188
DH,3.2,F. nucleatum,0.021316188521531262
DH,3.2,P. gingivalis_W83,0.01295011097098668
DH,3.25,S. oralis,0.06791572661712349
DH,3.25,A. naeslundii,0.050385926531292875
DH,3.25,V. parvula,0.8465879390926682
DH,3.25,F. nucleatum,0.021943098378309548
DH,3.25,P. gingivalis_W83,0.01316730938060596
DH,3.3000000000000003,S. oralis,0.06891225026348184
DH,3.3000000000000003,A. naeslundii,0.05195990159164798
DH,3.3000000000000003,V. parvula,0.8431585141079005
DH,3.3000000000000003,F. nucleatum,0.022583292587278016
DH,3.3000000000000003,P. gingivalis_W83,0.013386041449691626
DH,3.35,S. oralis,0.06991057014716288
DH,3.35,A. naeslundii,0.05356769267185047
DH,3.35,V. parvula,0.8396787029167379
DH,3.35,F. nucleatum,0.023236792815803316
DH,3.35,P. gingivalis_W83,0.013606241448445487
DH,3.4000000000000004,S. oralis,0.07091017250515731
DH,3.4000000000000004,A. naeslundii,0.05520922554843936
DH,3.4000000000000004,V. parvula,0.8361491521154757
DH,3.4000000000000004,F. nucleatum,0.023903607968679384
DH,3.4000000000000004,P. gingivalis_W83,0.01382784186224826
DH,3.45,S. oralis,0.07191053346638028
DH,3.45,A. naeslundii,0.05688438370767597
DH,3.45,V. parvula,0.8325705751996431
DH,3.45,F. nucleatum,0.024583734089624713
DH,3.45,P. gingivalis_W83,0.014050773536675944
DH,3.5,S. oralis,0.07291111987604852
DH,3.5,A. naeslundii,0.058593007516218626
DH,3.5,V. parvula,0.8289437526907731
DH,3.5,F. nucleatum,0.025277154112559975
DH,3.5,P. gingivalis_W83,0.014274965804399646
DH,3.5500000000000003,S. oralis,0.07391139019880161
DH,3.5500000000000003,A. naeslundii,0.06033489374927709
DH,3.5500000000000003,V. parvula,0.8252695317072833
DH,3.5500000000000003,F. nucleatum,0.025983837719902324
DH,3.5500000000000003,P. gingivalis_W83,0.014500346624735583
DH,3.6,S. oralis,0.0749107953462786
DH,3.6,A. naeslundii,0.06210979427542293
DH,3.6,V. parvula,0.8215488267256105
