condition,t_day,species,phi
DS,1.0,S. oralis,0.1508664627930683
DS,1.0,A. naeslundii,0.08460754332313966
DS,1.0,V. parvula,0.6294597349643222
DS,1.0,F. nucleatum,0.04943934760448521
DS,1.0,P. gingivalis_W83,0.08562691131498472
DS,1.05,S. oralis,0.14955250874475576
DS,1.05,A. naeslundii,0.0841405664542266
DS,1.05,V. parvula,0.6300496435308993
DS,1.05,F. nucleatum,0.049814271427941356
DS,1.05,P. gingivalis_W83,0.08644300984217693
DS,1.1,S. oralis,0.14825058217077736
DS,1.1,A. naeslundii,0.08367929887658732
DS,1.1,V. parvula,0.6306208937181847
DS,1.1,F. nucleatum,0.050190425604260104
DS,1.1,P. gingivalis_W83,0.08725879963019034
DS,1.15,S. oralis,0.1469606315044152
DS,1.15,A. naeslundii,0.08322368851242251
DS,1.15,V. parvula,0.6311736662854227
DS,1.15,F. nucleatum,0.05056780795996973
DS,1.15,P. gingivalis_W83,0.0880742057377699
DS,1.2,S. oralis,0.14568260139103834
DS,1.2,A. naeslundii,0.08277368386033473
DS,1.2,V. parvula,0.6317081427675573
DS,1.2,F. nucleatum,0.050946416434251005
DS,1.2,P. gingivalis_W83,0.0888891555468187
DS,1.25,S. oralis,0.1444164358838065
DS,1.25,A. naeslundii,0.08232923352247842
DS,1.25,V. parvula,0.6322245047725804
DS,1.25,F. nucleatum,0.05132624898362021
DS,1.25,P. gingivalis_W83,0.08970357683751436
DS,1.3,S. oralis,0.14316207802721118
DS,1.3,A. naeslundii,0.0818902862382213
DS,1.3,V. parvula,0.6327229341724687
DS,1.3,F. nucleatum,0.051707303595596325
DS,1.3,P. gingivalis_W83,0.09051739796650257
DS,1.35,S. oralis,0.14191946765134952
DS,1.35,A. naeslundii,0.08145679134980208
DS,1.35,V. parvula,0.6332036130894375
DS,1.35,F. nucleatum,0.05208957835207731
DS,1.35,P. gingivalis_W83,0.09133054955733363
DS,1.4,S. oralis,0.14068854345330223
DS,1.4,A. naeslundii,0.08102869842712834
DS,1.4,V. parvula,0.6336667236797163
DS,1.4,F. nucleatum,0.052473071367652384
DS,1.4,P. gingivalis_W83,0.09214296307220082
DS,1.45,S. oralis,0.1394692432048911
DS,1.45,A. naeslundii,0.08060595724184727
DS,1.45,V. parvula,0.6341124480714515
DS,1.45,F. nucleatum,0.05285778078344467
DS,1.45,P. gingivalis_W83,0.0929545706983655
DS,1.5,S. oralis,0.13826150323073763
DS,1.5,A. naeslundii,0.08018851785765924
DS,1.5,V. parvula,0.6345409684324502
DS,1.5,F. nucleatum,0.05324370478361861
DS,1.5,P. gingivalis_W83,0.09376530569553436
DS,1.55,S. oralis,0.1370652573818879
DS,1.55,A. naeslundii,0.07977633096315581
DS,1.55,V. parvula,0.6349524665545848
DS,1.55,F. nucleatum,0.05363084162052061
DS,1.55,P. gingivalis_W83,0.09457510347985094
DS,1.6,S. oralis,0.1358804391510144
DS,1.6,A. naeslundii,0.07936934735254514
DS,1.6,V. parvula,0.6353471241228046
DS,1.6,F. nucleatum,0.054019189555846794
DS,1.6,P. gingivalis_W83,0.09538389981778911
DS,1.65,S. oralis,0.1347069811648522
DS,1.65,A. naeslundii,0.07896751801789553
DS,1.65,V. parvula,0.6357251227638712
DS,1.65,F. nucleatum,0.054408746876891186
DS,1.65,P. gingivalis_W83,0.09619163117648986
DS,1.7000000000000002,S. oralis,0.13354481369391896
DS,1.7000000000000002,A. naeslundii,0.07857079468190384
DS,1.7000000000000002,V. parvula,0.6360866432773958
DS,1.7000000000000002,F. nucleatum,0.05479951193175258
DS,1.7000000000000002,P. gingivalis_W83,0.09699823641502871
DS,1.75,S. oralis,0.13239386641325349
DS,1.75,A. naeslundii,0.07817912926698094
DS,1.75,V. parvula,0.6364318662016027
DS,1.75,F. nucleatum,0.05519148308310082
DS,1.75,P. gingivalis_W83,0.09780365503506211
DS,1.8,S. oralis,0.1312540684098555
DS,1.8,A. naeslundii,0.07779247388591475
DS,1.8,V. parvula,0.6367609718406847
DS,1.8,F. nucleatum,0.055584658708761024
DS,1.8,P. gingivalis_W83,0.09860782715478411
DS,1.85,S. oralis,0.1301253473751443
DS,1.85,A. naeslundii,0.07741078115336372
DS,1.85,V. parvula,0.6370741397733377
DS,1.85,F. nucleatum,0.055979037220601956
DS,1.85,P. gingivalis_W83,0.09941069447755245
DS,1.9,S. oralis,0.12900762967927187
DS,1.9,A. naeslundii,0.07703400423265154
DS,1.9,V. parvula,0.6373715486375835
DS,1.9,F. nucleatum,0.05637461705837425
DS,1.9,P. gingivalis_W83,0.10021220039211878
DS,1.9500000000000002,S. oralis,0.1279008413992525
DS,1.9500000000000002,A. naeslundii,0.07666209642782951
DS,1.9500000000000002,V. parvula,0.6376533767984992
DS,1.9500000000000002,F. nucleatum,0.05677139666711034
DS,1.9500000000000002,P. gingivalis_W83,0.10101228870730845
DS,2.0,S. oralis,0.12680490792031257
DS,2.0,A. naeslundii,0.07629501131090571
DS,2.0,V. parvula,0.6379198021966105
DS,2.0,F. nucleatum,0.05716937450864018
DS,2.0,P. gingivalis_W83,0.10181090406353105
DS,2.05,S. oralis,0.125719753116432
DS,2.05,A. naeslundii,0.07593270325098274
DS,2.05,V. parvula,0.638171001124601
DS,2.05,F. nucleatum,0.057568549068582664
DS,2.05,P. gingivalis_W83,0.10260799343940159
DS,2.1,S. oralis,0.12464530057405417
DS,2.1,A. naeslundii,0.07557512678762374
DS,2.1,V. parvula,0.6384071494981001
DS,2.1,F. nucleatum,0.05796891883590095
DS,2.1,P. gingivalis_W83,0.103403504304321
DS,2.1500000000000004,S. oralis,0.12358147350644733
DS,2.1500000000000004,A. naeslundii,0.07522223664435501
DS,2.1500000000000004,V. parvula,0.6386284228698719
DS,2.1500000000000004,F. nucleatum,0.05837048230675564
DS,2.1500000000000004,P. gingivalis_W83,0.10419738467257014
DS,2.2,S. oralis,0.12252819406994427
DS,2.2,A. naeslundii,0.0748739882348505
DS,2.2,V. parvula,0.6388349951981938
DS,2.2,F. nucleatum,0.05877323798731304
DS,2.2,P. gingivalis_W83,0.1049895845096984
DS,2.25,S. oralis,0.12148538383495892
DS,2.25,A. naeslundii,0.07453033740440787
DS,2.25,V. parvula,0.6390270393915444
DS,2.25,F. nucleatum,0.05917718438583023
DS,2.25,P. gingivalis_W83,0.1057800549832586
DS,2.3,S. oralis,0.12045296414847453
DS,2.3,A. naeslundii,0.0741912401891549
DS,2.3,V. parvula,0.6392047278713381
DS,2.3,F. nucleatum,0.0595823200098721
DS,2.3,P. gingivalis_W83,0.10656874778116053
DS,2.35,S. oralis,0.11943085588627264
DS,2.35,A. naeslundii,0.07385665295994069
DS,2.35,V. parvula,0.6393682322600402
DS,2.35,F. nucleatum,0.05998864337088096
DS,2.35,P. gingivalis_W83,0.10735561552286543
DS,2.4000000000000004,S. oralis,0.11841897913179224
DS,2.4000000000000004,A. naeslundii,0.07352653289709965
DS,2.4000000000000004,V. parvula,0.6395177220129055
DS,2.4000000000000004,F. nucleatum,0.060396152969366186
DS,2.4000000000000004,P. gingivalis_W83,0.10814061298883652
DS,2.45,S. oralis,0.1174172538545719
DS,2.45,A. naeslundii,0.07320083732529666
DS,2.45,V. parvula,0.6396533661811359
DS,2.45,F. nucleatum,0.06080484730233531
DS,2.45,P. gingivalis_W83,0.10892369533666045
DS,2.5,S. oralis,0.11642559978918249
DS,2.5,A. naeslundii,0.07287952377476868
DS,2.5,V. parvula,0.6397753332890496
DS,2.5,F. nucleatum,0.06121472486672105
DS,2.5,P. gingivalis_W83,0.1097048182802782
DS,2.55,S. oralis,0.11544393611012675
DS,2.55,A. naeslundii,0.07256255058504048
DS,2.55,V. parvula,0.639883789550493
DS,2.55,F. nucleatum,0.06162578413676845
DS,2.55,P. gingivalis_W83,0.11048393961757129
DS,2.6,S. oralis,0.11447218180229857
DS,2.6,A. naeslundii,0.0722498764122741
DS,2.6,V. parvula,0.639978900255347
DS,2.6,F. nucleatum,0.062038023575811466
DS,2.6,P. gingivalis_W83,0.11126101795426886
DS,2.6500000000000004,S. oralis,0.11351025572789526
DS,2.6500000000000004,A. naeslundii,0.0719414601652969
DS,2.6500000000000004,V. parvula,0.6400608299397355
DS,2.6500000000000004,F. nucleatum,0.06245144163707977
DS,2.6500000000000004,P. gingivalis_W83,0.11203601252999262
DS,2.7,S. oralis,0.1125580765243625
DS,2.7,A. naeslundii,0.07163726113660292
DS,2.7,V. parvula,0.6401297420224951
DS,2.7,F. nucleatum,0.06286603676186597
DS,2.7,P. gingivalis_W83,0.11280888355467349
DS,2.75,S. oralis,0.1116155625870607
DS,2.75,A. naeslundii,0.07133723940121971
DS,2.75,V. parvula,0.640185797503594
DS,2.75,F. nucleatum,0.06328180735131414
DS,2.75,P. gingivalis_W83,0.11357959315681153
DS,2.8,S. oralis,0.11068263229373754
DS,2.8,A. naeslundii,0.07104135516178806
DS,2.8,V. parvula,0.6402291569757929
DS,2.8,F. nucleatum,0.0636987517985939
DS,2.8,P. gingivalis_W83,0.11434810377008786
DS,2.85,S. oralis,0.10975920391845187
DS,2.85,A. naeslundii,0.07074956886799225
DS,2.85,V. parvula,0.6402599802873589
DS,2.85,F. nucleatum,0.06411686848714034
DS,2.85,P. gingivalis_W83,0.11511437843905671
DS,2.9000000000000004,S. oralis,0.10884519566668026
DS,2.9000000000000004,A. naeslundii,0.07046184183091812
DS,2.9000000000000004,V. parvula,0.6402784245123967
DS,2.9000000000000004,F. nucleatum,0.06453615574406217
DS,2.9000000000000004,P. gingivalis_W83,0.11587838224594275
DS,2.95,S. oralis,0.10794052574272918
DS,2.95,A. naeslundii,0.07017813560128097
DS,2.95,V. parvula,0.6402846459421382
DS,2.95,F. nucleatum,0.06495661187930889
DS,2.95,P. gingivalis_W83,0.11664008083454284
DS,3.0,S. oralis,0.10704511234746004
DS,3.0,A. naeslundii,0.06989841195879053
DS,3.0,V. parvula,0.6402788001225018
DS,3.0,F. nucleatum,0.065378235187142
DS,3.0,P. gingivalis_W83,0.11739944038410563
DS,3.0500000000000003,S. oralis,0.10615887371846013
DS,3.0500000000000003,A. naeslundii,0.0696226332333652
DS,3.0500000000000003,V. parvula,0.6402610407861056
DS,3.0500000000000003,F. nucleatum,0.06580102392125155
DS,3.0500000000000003,P. gingivalis_W83,0.11815642834081763
DS,3.1,S. oralis,0.10528172821943264
DS,3.1,A. naeslundii,0.06935076238970554
DS,3.1,V. parvula,0.6402315195223144
DS,3.1,F. nucleatum,0.06622497628081814
DS,3.1,P. gingivalis_W83,0.11891101358772928
DS,3.15,S. oralis,0.10441359426166598
DS,3.15,A. naeslundii,0.06908276254080911
DS,3.15,V. parvula,0.6401903874105536
DS,3.15,F. nucleatum,0.0666500904509247
DS,3.15,P. gingivalis_W83,0.11966316533604664
DS,3.2,S. oralis,0.10355439029972116
DS,3.2,A. naeslundii,0.06881859709603072
DS,3.2,V. parvula,0.6401377945419474
DS,3.2,F. nucleatum,0.06707636459387978
DS,3.2,P. gingivalis_W83,0.12041285346842096
DS,3.25,S. oralis,0.10270403512058751
DS,3.25,A. naeslundii,0.06855823032241486
DS,3.25,V. parvula,0.6400738880308113
DS,3.25,F. nucleatum,0.06750379678616379
DS,3.25,P. gingivalis_W83,0.12116004974002256
DS,3.3000000000000003,S. oralis,0.1018624475971306
DS,3.3000000000000003,A. naeslundii,0.06830162667262611
DS,3.3000000000000003,V. parvula,0.6399988143397194
DS,3.3000000000000003,F. nucleatum,0.06793238508431294
DS,3.3000000000000003,P. gingivalis_W83,0.12190472630621095
DS,3.35,S. oralis,0.10102954667326138
DS,3.35,A. naeslundii,0.0680487507995653
DS,3.35,V. parvula,0.6399127192408127
DS,3.35,F. nucleatum,0.06836212752607165
DS,3.35,P. gingivalis_W83,0.12264685576028898
DS,3.4000000000000004,S. oralis,0.10020525166581684
DS,3.4000000000000004,A. naeslundii,0.06779956806089145
DS,3.4000000000000004,V. parvula,0.6398157460149339
DS,3.4000000000000004,F. nucleatum,0.06879302207101462
DS,3.4000000000000004,P. gingivalis_W83,0.12338641218734332
DS,3.45,S. oralis,0.09938948216834234
