,Actinobacteria,Bacilli,Bacteroidia,Betaproteobacteria,Clostridia,Coriobacteriia,Fusobacteriia,Gammaproteobacteria,Negativicutes,Other
Actinobacteria,-1.102,0.1429,-0.1508,0.1858,-0.0231,-0.3994,0.2852,0.1167,-0.398,0.3748
Bacilli,0.1429,-0.9978,0.411,0.4586,0.1918,0.6497,-0.139,-0.1557,0.2735,0.9584
Bacteroidia,-0.1508,0.411,-0.4809,-0.1715,-0.0485,-0.0547,0.0518,0.1022,-0.1983,0.0763
Betaproteobacteria,0.1858,0.4586,-0.1715,-0.4735,-0.0363,0.1348,0.0399,-0.1152,0.0756,0.1232
Clostridia,-0.0231,0.1918,-0.0485,-0.0363,-0.416,-0.0506,-0.0113,-0.026,-0.0322,0.0086
Coriobacteriia,-0.3994,0.6497,-0.0547,0.1348,-0.0506,-0.4427,0.0578,0.0511,-0.0463,0.0185
Fusobacteriia,0.2852,-0.139,0.0518,0.0399,-0.0113,0.0578,-0.4184,0.0327,0.0485,0.0284
Gammaproteobacteria,0.1167,-0.1557,0.1022,-0.1152,-0.026,0.0511,0.0327,-0.4552,0.107,0.0666
Negativicutes,-0.398,0.2735,-0.1983,0.0756,-0.0322,-0.0463,0.0485,0.107,-0.4832,0.0451
Other,0.3748,0.9584,0.0763,0.1232,0.0086,0.0185,0.0284,0.0666,0.0451,-0.3918
