:ID,name:STRING,HMT:STRING,eHOMD:STRING,class:STRING,:LABEL
sp_abiotrophia_defectiva,Abiotrophia defectiva,389,https://www.homd.org/taxa/tax_description?otid=389,,Species
sp_actinomaces_sp_otu_14,Actinomaces sp. OTU_14,n/a,n/a,,Species
sp_actinomyces_israelii,Actinomyces israelii,645,https://www.homd.org/taxa/tax_description?otid=645,,Species
sp_actinomyces_oris,Actinomyces oris,893,https://www.homd.org/taxa/tax_description?otid=893,,Species
sp_actinomyces_sp_hmt_169,Actinomyces sp. HMT-169,169,https://www.homd.org/taxa/tax_description?otid=169,,Species
sp_aggregatibacter_aphrophilus,Aggregatibacter aphrophilus,545,https://www.homd.org/taxa/tax_description?otid=545,,Species
sp_alloscardovia_omnicolens,Alloscardovia omnicolens,198,https://www.homd.org/taxa/tax_description?otid=198,,Species
sp_arachnia_propionica,Arachnia propionica,739,https://www.homd.org/taxa/tax_description?otid=739,,Species
sp_bifidobacterium_dentium,Bifidobacterium dentium,588,https://www.homd.org/taxa/tax_description?otid=588,,Species
sp_bifidobacterium_longum,Bifidobacterium longum,862,https://www.homd.org/taxa/tax_description?otid=862,,Species
sp_capnocytophaga_leadbetteri,Capnocytophaga leadbetteri,329,https://www.homd.org/taxa/tax_description?otid=329,,Species
sp_capnocytophaga_sputigena,Capnocytophaga sputigena,775,https://www.homd.org/taxa/tax_description?otid=775,,Species
sp_corynebacterium_matruchotii,Corynebacterium matruchotii,666,https://www.homd.org/taxa/tax_description?otid=666,,Species
sp_eikenalla_corodens,Eikenalla corodens,577,https://www.homd.org/taxa/tax_description?otid=577,,Species
sp_fusobacterium_sp_otu_27,Fusobacterium sp. OTU_27,n/a,n/a,,Species
sp_granulicatella_adiacens,Granulicatella adiacens,534,https://www.homd.org/taxa/tax_description?otid=534,,Species
sp_haemophilus_parainfluenzae,Haemophilus parainfluenzae,718,https://www.homd.org/taxa/tax_description?otid=718,,Species
sp_kingella_oralis,Kingella oralis,706,https://www.homd.org/taxa/tax_description?otid=706,,Species
sp_lactobacillus_sp_otu_19,Lactobacillus sp. OTU_19,n/a,n/a,,Species
sp_lactobacillus_sp_otu_6,Lactobacillus sp. OTU_6,n/a,n/a,,Species
