:ID,name:STRING,sub_type:STRING,HMDB_ID:STRING,HMDB_url:STRING,EC:STRING,KEGG:STRING,:LABEL
sub_lactic_acid,lactic acid,metabolite,HMDB0000190,https://hmdb.ca/metabolites/HMDB0000190,n/a,n/a,Substrate
sub_l_cysteine,L-cysteine,metabolite,HMDB0000574,https://hmdb.ca/metabolites/HMDB0000574,n/a,n/a,Substrate
sub_pyridoxal,pyridoxal,metabolite,HMDB0001545,https://hmdb.ca/metabolites/HMDB0001545,n/a,n/a,Substrate
sub_fucosidase,fucosidase,enzyme,n/a,n/a,n/a,n/a,Substrate
sub_menaquinone,menaquinone,metabolite,n/a,n/a,n/a,n/a,Substrate
sub_nitrite,nitrite,metabolite,HMDB0002786,https://hmdb.ca/metabolites/HMDB0002786,n/a,n/a,Substrate
sub_nitrate,nitrate,metabolite,HMDB0002878,https://hmdb.ca/metabolites/HMDB0002878,n/a,n/a,Substrate
sub_oxygen,oxygen,metabolite,HMDB0001377,https://hmdb.ca/metabolites/HMDB0001377,n/a,n/a,Substrate
sub_adenine,adenine,metabolite,HMDB0000034,https://hmdb.ca/metabolites/HMDB0000034,n/a,n/a,Substrate
sub_thymine,thymine,metabolite,HMDB0000262,https://hmdb.ca/metabolites/HMDB0000262,n/a,n/a,Substrate
sub_proto_porphyrin,(proto)porphyrin,metabolite,n/a,n/a,n/a,n/a,Substrate
sub_alkaline_phosphatase,alkaline phosphatase,enzyme,n/a,n/a,3.1.3.1,https://www.genome.jp/entry/3.1.3.1,Substrate
sub_beta_galactosidase,beta-galactosidase,enzyme,n/a,n/a,3.2.1.23,https://www.genome.jp/entry/3.2.1.23,Substrate
sub_cell_aggregates,cell aggregates,biofilm_component,n/a,n/a,n/a,n/a,Substrate
sub_nitrate_reductase,nitrate reductase,enzyme,n/a,n/a,n/a,n/a,Substrate
sub_alpha_lactose,alpha-lactose,metabolite,HMDB0000186,https://hmdb.ca/metabolites/HMDB0000186,n/a,n/a,Substrate
sub_carbon_dioxide,carbon dioxide,metabolite,HMDB0001967,https://hmdb.ca/metabolites/HMDB0001967,n/a,n/a,Substrate
sub_d_fructose,D-fructose,metabolite,HMDB0000660,https://hmdb.ca/metabolites/HMDB0000660,n/a,n/a,Substrate
sub_d_galactose,D-galactose,metabolite,HMDB0000143,https://hmdb.ca/metabolites/HMDB0000143,n/a,n/a,Substrate
sub_d_glucose,D-glucose,metabolite,HMDB0000122,https://hmdb.ca/metabolites/HMDB0000122,n/a,n/a,Substrate
