:START_ID,:END_ID,:TYPE,evidence:STRING,figure:STRING,pubmed1:STRING,pubmed2:STRING,references:STRING,comments:STRING
sp_abiotrophia_defectiva,sub_lactic_acid,PRODUCES,experimental,S4,n/a,n/a,"Bergey's Manual of Systematic Bacteriology, Vol. 3-5, Edn. 2nd.",Data retrived from review and not original research article.
sp_abiotrophia_defectiva,sub_l_cysteine,USES,experimental,S4,n/a,n/a,"Bergey's Manual of Systematic Bacteriology, Vol. 3-5, Edn. 2nd.",Data retrived from review and not original research article.
sp_abiotrophia_defectiva,sub_pyridoxal,USES,experimental,S4,n/a,n/a,"Bergey's Manual of Systematic Bacteriology, Vol. 3-5, Edn. 2nd.",Data retrived from review and not original research article.
sp_actinomaces_sp_otu_14,sub_fucosidase,PRODUCES,prediction,S4,n/a,n/a,"Bergey's Manual of Systematic Bacteriology, Vol. 3-5, Edn. 2nd.",Prediction based on the characteristics of related A. naselundii. Data retrived from review and not original research article. Some.
sp_actinomaces_sp_otu_14,sub_lactic_acid,PRODUCES,prediction,S4,n/a,n/a,"Bergey's Manual of Systematic Bacteriology, Vol. 3-5, Edn. 2nd.",Prediction based on the characteristics of related A. naselundii. Data retrived from review and not original research article.
sp_actinomaces_sp_otu_14,sub_menaquinone,PRODUCES,prediction,,n/a,n/a,Fernandez1987 10.1111/j.1574-6968.1987.tb02191.x,Prediction based on the characteristics of Actinomyces genus.Tetrahydrogenated menaquinones with ten isoprene units [MK-10(H4)] are the major respiratory quinones.
sp_actinomaces_sp_otu_14,sub_nitrite,PRODUCES,prediction,S4,n/a,n/a,"Bergey's Manual of Systematic Bacteriology, Vol. 3-5, Edn. 2nd.",Prediction based on the characteristics of related A. naselundii. Data retrived from review and not original research article.
sp_actinomaces_sp_otu_14,sub_nitrate,USES,prediction,S4,n/a,n/a,"Bergey's Manual of Systematic Bacteriology, Vol. 3-5, Edn. 2nd.",Prediction based on the characteristics of related A. naselundii. Data retrived from review and not original research article.
sp_actinomyces_israelii,sub_oxygen,IS_INHIBITED_BY,experimental,S4,n/a,n/a,"Bergey's Manual of Systematic Bacteriology, Vol. 3-5, Edn. 2nd.",Data retrived from review and not original research article.
sp_actinomyces_israelii,sub_lactic_acid,PRODUCES,experimental,S4,n/a,n/a,"Bergey's Manual of Systematic Bacteriology, Vol. 3-5, Edn. 2nd.",Data retrived from review and not original research article.
sp_actinomyces_israelii,sub_menaquinone,PRODUCES,experimental,,n/a,n/a,Fernandez1987 10.1111/j.1574-6968.1987.tb02191.x,Tetrahydrogenated menaquinones with ten isoprene units [MK-10(H4)] are the major respiratory quinones.
sp_actinomyces_israelii,sub_nitrite,PRODUCES,experimental,S4,n/a,n/a,"Bergey's Manual of Systematic Bacteriology, Vol. 3-5, Edn. 2nd.",Data retrived from review and not original research article. Usually.
sp_actinomyces_israelii,sub_adenine,USES,experimental,S4,n/a,n/a,"Bergey's Manual of Systematic Bacteriology, Vol. 3-5, Edn. 2nd.",Data retrived from review and not original research article.
sp_actinomyces_israelii,sub_nitrate,USES,experimental,S4,n/a,n/a,"Bergey's Manual of Systematic Bacteriology, Vol. 3-5, Edn. 2nd.",Data retrived from review and not original research article. Usually.
sp_actinomyces_israelii,sub_thymine,USES,experimental,S4,n/a,n/a,"Bergey's Manual of Systematic Bacteriology, Vol. 3-5, Edn. 2nd.",Data retrived from review and not original research article.
sp_actinomyces_oris,sub_fucosidase,PRODUCES,experimental,S4,n/a,n/a,"Bergey's Manual of Systematic Bacteriology, Vol. 3-5, Edn. 2nd.",Data retrived from review and not original research article. Some.
sp_actinomyces_oris,sub_lactic_acid,PRODUCES,experimental,S4,n/a,n/a,"Bergey's Manual of Systematic Bacteriology, Vol. 3-5, Edn. 2nd.",Data retrived from review and not original research article.
sp_actinomyces_oris,sub_menaquinone,PRODUCES,prediction,,n/a,n/a,Fernandez1987 10.1111/j.1574-6968.1987.tb02191.x,Prediction based on the characteristics of Actinomyces genus.Tetrahydrogenated menaquinones with ten isoprene units [MK-10(H4)] are the major respiratory quinones.
sp_actinomyces_oris,sub_nitrite,PRODUCES,experimental,S4,n/a,n/a,"Bergey's Manual of Systematic Bacteriology, Vol. 3-5, Edn. 2nd.",Data retrived from review and not original research article. Variable.
sp_actinomyces_oris,sub_nitrate,USES,experimental,S4,n/a,n/a,"Bergey's Manual of Systematic Bacteriology, Vol. 3-5, Edn. 2nd.",Data retrived from review and not original research article. Variable.
sp_actinomyces_sp_hmt_169,sub_fucosidase,PRODUCES,prediction,S4,n/a,n/a,"Bergey's Manual of Systematic Bacteriology, Vol. 3-5, Edn. 2nd.",Prediction based on the characteristics of related A. naselundii. Data retrived from review and not original research article. Some.
