:START_ID,:END_ID,:TYPE,oral:STRING,strain_details:STRING,co_culture:STRING,comments:STRING,reference:STRING
sp_actinomyces_massiliensis,sp_saccharibacteria_tm7_sp_hmt_957,SUPPORTS,Yes,"strain F0489, Saccharibacterium (TM7) sp. HMT-957 is ectobiont",BHI-broth with 1:1 Gibco RPMI,Stable long-term binary in vitro co-cultures,Bor2020 (10.1177/0022034520905792)
sp_actinomyces_oris,sp_tannerella_serpentiformis_hmt_286,SUPPORTS,Yes,,,,Vartoukian2016 (10.1177/0022034516651078)
sp_actinomyces_sp_hmt_171,sp_saccharibacteria_tm7_sp_hmt_957,SUPPORTS,Yes,"strain F0337, Saccharibacterium (TM7) sp. HMT-957 is ectobiont",BHI-broth with 1:1 Gibco RPMI,Stable long-term binary in vitro co-cultures,Bor2020 (10.1177/0022034520905792)
sp_actinomyces_sp_hmt_180,sp_saccharibacteria_tm7_sp_hmt_952,SUPPORTS,Yes,"strain F0310, Saccharibacterium (TM7) sp. HMT-952 is ectobiont",BHI-broth with 1:1 Gibco RPMI,Stable long-term binary in vitro co-cultures,Bor2020 (10.1177/0022034520905792)
sp_actinomyces_sp_hmt_897,sp_saccharibacterium_tm7_sp_hmt_349,SUPPORTS,Yes,"strain F0631, Saccharibacterium (TM7) sp. HMT-349 is ectobiont",BHI-broth with 1:1 Gibco RPMI,Stable long-term binary in vitro co-cultures,Murugkar2023 (10.1080/20002297.2020.1814666)
sp_actinomyces_sp_hmt_897,sp_saccharibacterium_tm7_sp_hmt_351,SUPPORTS,Yes,"strain ORNL0104, Saccharibacterium (TM7) sp. HMT-351 is ectobiont",BHI-broth with 1:1 Gibco RPMI,Stable long-term binary in vitro co-cultures,"Cross2019 (10.1038/s41587-019-0260-6), Cross2021 (10.1128/mra.00040-21)"
sp_arachnia_propionica,sp_saccharibacteria_tm7_sp_hmt_488,SUPPORTS,Yes,"strains F0700, F0230, F0231, Saccharibacterium (TM7) sp. HMT-488 is ectobiont",TSBY-broth with 1:1 Gibco RPMI,Stable long-term binary in vitro co-cultures,"Bor2020 (10.1177/0022034520905792), Murugkar2023 (10.1080/20002297.2020.1814666)"
sp_arachnia_propionica,sp_saccharibacteria_tm7_sp_hmt_955,SUPPORTS,Yes,"strain F0700, Saccharibacterium (TM7) sp. HMT-955 is ectobiont",TSBY-broth with 1:1 Gibco RPMI,Stable long-term binary in vitro co-cultures,"Bor2020 (10.1177/0022034520905792), Murugkar2023 (10.1080/20002297.2020.1814666)"
sp_bacillus_sp,sp_synbiobacterium_thermophilum,SUPPORTS,No,S. thermophilumis a compost isolate,,,Ohno1999 (10.1271/bbb.63.1083)
sp_bacillus_stearothermophilus,sp_synbiobacterium_thermophilum,SUPPORTS,No,S. thermophilumis a compost isolate,,,Ohno1999 (10.1271/bbb.63.1083)
